coverage,stride,top1,n,model,dataset
10,1,0.3608910891089109,2020,videomae,ucf101
10,2,0.3668316831683168,2020,videomae,ucf101
10,4,0.348019801980198,2020,videomae,ucf101
10,8,0.29158415841584157,2020,videomae,ucf101
10,16,0.21633663366336633,2020,videomae,ucf101
25,1,0.4079207920792079,2020,videomae,ucf101
25,2,0.4183168316831683,2020,videomae,ucf101
25,4,0.42475247524752474,2020,videomae,ucf101
25,8,0.39603960396039606,2020,videomae,ucf101
25,16,0.33564356435643566,2020,videomae,ucf101
50,1,0.45742574257425744,2020,videomae,ucf101
50,2,0.45594059405940596,2020,videomae,ucf101
50,4,0.4594059405940594,2020,videomae,ucf101
50,8,0.45,2020,videomae,ucf101
50,16,0.41386138613861384,2020,videomae,ucf101
75,1,0.4633663366336634,2020,videomae,ucf101
75,2,0.46534653465346537,2020,videomae,ucf101
75,4,0.4688118811881188,2020,videomae,ucf101
75,8,0.4633663366336634,2020,videomae,ucf101
75,16,0.45643564356435645,2020,videomae,ucf101
100,1,0.45841584158415843,2020,videomae,ucf101
100,2,0.453960396039604,2020,videomae,ucf101
100,4,0.453960396039604,2020,videomae,ucf101
100,8,0.453960396039604,2020,videomae,ucf101
100,16,0.4608910891089109,2020,videomae,ucf101
