coverage,stride,top1,n
10,1,0.7722772277227723,2020
10,2,0.7826732673267327,2020
10,4,0.7693069306930693,2020
10,8,0.7054455445544554,2020
10,16,0.5905940594059406,2020
25,1,0.8648514851485148,2020
25,2,0.8638613861386139,2020
25,4,0.8712871287128713,2020
25,8,0.8400990099009901,2020
25,16,0.7643564356435644,2020
50,1,0.9301980198019802,2020
50,2,0.9321782178217822,2020
50,4,0.9277227722772278,2020
50,8,0.9163366336633664,2020
50,16,0.8638613861386139,2020
75,1,0.9603960396039604,2020
75,2,0.9569306930693068,2020
75,4,0.9608910891089107,2020
75,8,0.9504950495049505,2020
75,16,0.9198019801980198,2020
100,1,0.9643564356435644,2020
100,2,0.9613861386138614,2020
100,4,0.9618811881188118,2020
100,8,0.9574257425742574,2020
100,16,0.945049504950495,2020
