dataset,split,video_id,video_path,label_id,budget,coverage,stride,pred_id,correct_top1,correct_top5,confidence,decode_time_s,inference_time_s,total_time_s,source_frames,candidate_frames,processed_frames,model_input_frames,skipped,error
autsl,val,signer1_sample944_color,data/AUTSL_data/val/signer1_sample944_color.mp4,0,8,50,1,1,False,True,,0.019478767062537372,0.003730179407284595,0.9090585560770705,57,8,8,8,False,
autsl,val,signer1_sample276_color,data/AUTSL_data/val/signer1_sample276_color.mp4,0,8,50,1,1,False,True,,0.019565635011531413,0.003730179407284595,0.8873409399529919,65,8,8,8,False,
autsl,val,signer35_sample610_color,data/AUTSL_data/val/signer35_sample610_color.mp4,0,8,50,1,1,False,True,,0.01863998593762517,0.003730179407284595,0.8661139379255474,71,8,8,8,False,
autsl,val,signer35_sample390_color,data/AUTSL_data/val/signer35_sample390_color.mp4,0,8,50,1,1,False,True,,0.02120958303567022,0.003730179407284595,0.844998073996976,75,8,8,8,False,
autsl,val,signer18_sample539_color,data/AUTSL_data/val/signer18_sample539_color.mp4,0,8,50,1,1,False,True,,0.019546469091437757,0.003730179407284595,0.8212752840481699,64,8,8,8,False,
autsl,val,signer1_sample778_color,data/AUTSL_data/val/signer1_sample778_color.mp4,0,8,50,1,1,False,True,,0.019262162037193775,0.003730179407284595,0.7994587071007118,63,8,8,8,False,
autsl,val,signer11_sample469_color,data/AUTSL_data/val/signer11_sample469_color.mp4,0,8,50,1,1,False,True,,0.014657404972240329,0.003730179407284595,0.7782553610159084,45,8,8,8,False,
autsl,val,signer1_sample319_color,data/AUTSL_data/val/signer1_sample319_color.mp4,0,8,50,1,1,False,True,,0.018479808932170272,0.003730179407284595,0.7615057079819962,68,8,8,8,False,
autsl,val,signer11_sample120_color,data/AUTSL_data/val/signer11_sample120_color.mp4,0,8,50,1,1,False,True,,0.016288524959236383,0.003730179407284595,0.74108568392694,48,8,8,8,False,
autsl,val,signer25_sample64_color,data/AUTSL_data/val/signer25_sample64_color.mp4,0,8,50,1,1,False,True,,0.015375635004602373,0.003730179407284595,0.7229203099850565,46,8,8,8,False,
autsl,val,signer16_sample254_color,data/AUTSL_data/val/signer16_sample254_color.mp4,0,8,50,1,1,False,True,,0.017879634047858417,0.003730179407284595,0.7048357629682869,61,8,8,8,False,
autsl,val,signer35_sample286_color,data/AUTSL_data/val/signer35_sample286_color.mp4,0,8,50,1,1,False,True,,0.019303128006868064,0.003730179407284595,0.6847069719806314,61,8,8,8,False,
autsl,val,signer25_sample285_color,data/AUTSL_data/val/signer25_sample285_color.mp4,0,8,50,1,1,False,True,,0.01685347396414727,0.003730179407284595,0.663622968015261,53,8,8,8,False,
