dataset,split,video_id,video_path,label_id,budget,coverage,stride,pred_id,correct_top1,correct_top5,confidence,decode_time_s,inference_time_s,total_time_s,source_frames,candidate_frames,processed_frames,model_input_frames,skipped,error
autsl,val,signer1_sample944_color,data/AUTSL_data/val/signer1_sample944_color.mp4,0,8,10,4,1,False,True,,0.0093561050016433,0.0040171533182729036,0.7279910899233073,57,2,8,8,False,
autsl,val,signer1_sample276_color,data/AUTSL_data/val/signer1_sample276_color.mp4,0,8,10,4,1,False,True,,0.007432932965457439,0.0040171533182729036,0.7165028499439359,65,2,8,8,False,
autsl,val,signer35_sample610_color,data/AUTSL_data/val/signer35_sample610_color.mp4,0,8,10,4,1,False,True,,0.0068432430271059275,0.0040171533182729036,0.7080288510769606,71,2,8,8,False,
autsl,val,signer35_sample390_color,data/AUTSL_data/val/signer35_sample390_color.mp4,0,8,10,4,1,False,True,,0.006715530063956976,0.0040171533182729036,0.6997608768288046,75,2,8,8,False,
autsl,val,signer18_sample539_color,data/AUTSL_data/val/signer18_sample539_color.mp4,0,8,10,4,1,False,True,,0.006677984027191997,0.0040171533182729036,0.6923744138330221,64,2,8,8,False,
autsl,val,signer1_sample778_color,data/AUTSL_data/val/signer1_sample778_color.mp4,0,8,10,4,1,False,True,,0.007015621988102794,0.0040171533182729036,0.684922412969172,63,2,8,8,False,
autsl,val,signer11_sample469_color,data/AUTSL_data/val/signer11_sample469_color.mp4,0,8,10,4,1,False,True,,0.005510536953806877,0.0040171533182729036,0.6769534719642252,45,1,8,8,False,
autsl,val,signer1_sample319_color,data/AUTSL_data/val/signer1_sample319_color.mp4,0,8,10,4,1,False,True,,0.007038261042907834,0.0040171533182729036,0.6705590379424393,68,2,8,8,False,
autsl,val,signer11_sample120_color,data/AUTSL_data/val/signer11_sample120_color.mp4,0,8,10,4,1,False,True,,0.0065359510481357574,0.0040171533182729036,0.6623302800580859,48,2,8,8,False,
autsl,val,signer25_sample64_color,data/AUTSL_data/val/signer25_sample64_color.mp4,0,8,10,4,1,False,True,,0.0066512580960989,0.0040171533182729036,0.6551067549735308,46,2,8,8,False,
autsl,val,signer16_sample254_color,data/AUTSL_data/val/signer16_sample254_color.mp4,0,8,10,4,1,False,True,,0.007068226113915443,0.0040171533182729036,0.6476734490133822,61,2,8,8,False,
autsl,val,signer35_sample286_color,data/AUTSL_data/val/signer35_sample286_color.mp4,0,8,10,4,1,False,True,,0.006856101099401712,0.0040171533182729036,0.6395755198318511,61,2,8,8,False,
autsl,val,signer25_sample285_color,data/AUTSL_data/val/signer25_sample285_color.mp4,0,8,10,4,1,False,True,,0.0070541310124099255,0.0040171533182729036,0.6315415590070188,53,2,8,8,False,
