coverage,stride,top1,n,model,dataset
10,1,0.014938886373924853,4418,videomamba,autsl
10,2,0.01403349932095971,4418,videomamba,autsl
10,4,0.01244907197827071,4418,videomamba,autsl
10,8,0.010864644635581712,4418,videomamba,autsl
10,16,0.010864644635581712,4418,videomamba,autsl
25,1,0.06903576278859212,4418,videomamba,autsl
25,2,0.06880941602535083,4418,videomamba,autsl
25,4,0.06880941602535083,4418,videomamba,autsl
25,8,0.0536441828881847,4418,videomamba,autsl
25,16,0.033499320959710276,4418,videomamba,autsl
50,1,0.34585785423268445,4418,videomamba,autsl
50,2,0.33046627433227704,4418,videomamba,autsl
50,4,0.33567224988682665,4418,videomamba,autsl
50,8,0.2965142598460842,4418,videomamba,autsl
50,16,0.19035762788592123,4418,videomamba,autsl
75,1,0.5289723856948846,4418,videomamba,autsl
75,2,0.520597555454957,4418,videomamba,autsl
75,4,0.5156179266636487,4418,videomamba,autsl
75,8,0.4902670891806247,4418,videomamba,autsl
75,16,0.35219556360344045,4418,videomamba,autsl
100,1,0.534857401539158,4418,videomamba,autsl
100,2,0.5307831598008148,4418,videomamba,autsl
100,4,0.5312358533272974,4418,videomamba,autsl
100,8,0.5228610230873698,4418,videomamba,autsl
100,16,0.39339067451335447,4418,videomamba,autsl
