coverage,stride,top1,n,model,dataset
10,1,0.080754,743,videomamba,diving48
10,2,0.068641,743,videomamba,diving48
10,4,0.056528,743,videomamba,diving48
10,8,0.053836,743,videomamba,diving48
10,16,0.053836,743,videomamba,diving48
25,1,0.109017,743,videomamba,diving48
25,2,0.113055,743,videomamba,diving48
25,4,0.121131,743,videomamba,diving48
25,8,0.109017,743,videomamba,diving48
25,16,0.074024,743,videomamba,diving48
50,1,0.265141,743,videomamba,diving48
50,2,0.25572,743,videomamba,diving48
50,4,0.267833,743,videomamba,diving48
50,8,0.228802,743,videomamba,diving48
50,16,0.15074,743,videomamba,diving48
75,1,0.394347,743,videomamba,diving48
75,2,0.38358,743,videomamba,diving48
75,4,0.397039,743,videomamba,diving48
75,8,0.366083,743,videomamba,diving48
75,16,0.279946,743,videomamba,diving48
100,1,0.364738,743,videomamba,diving48
100,2,0.349933,743,videomamba,diving48
100,4,0.362046,743,videomamba,diving48
100,8,0.336474,743,videomamba,diving48
100,16,0.318977,743,videomamba,diving48
