dataset,split,video_id,video_path,label_id,budget,coverage,stride,pred_id,correct_top1,correct_top5,confidence,decode_time_s,inference_time_s,total_time_s,source_frames,candidate_frames,processed_frames,model_input_frames,skipped,error
diving48,val,Le6xdQ2OO8w_00124,data/Diving48_data/videos/Le6xdQ2OO8w_00124.mp4,0,8,10,4,7,False,False,0.5873300433158875,0.01718385494314134,0.00416216653684387,1.093367249937728,106,3,8,8,False,
diving48,val,bl0C6d9QgIg_00021,data/Diving48_data/videos/bl0C6d9QgIg_00021.mp4,0,8,10,4,35,False,False,0.5172345042228699,0.013557662954553962,0.00416216653684387,1.072230301098898,51,2,8,8,False,
diving48,val,mGRum47TLX0_00045,data/Diving48_data/videos/mGRum47TLX0_00045.mp4,0,8,10,4,3,False,False,0.43483349680900574,0.020012211985886097,0.00416216653684387,1.055871413089335,211,6,8,8,False,
diving48,val,L_SB1PRgDTE_00029,data/Diving48_data/videos/L_SB1PRgDTE_00029.mp4,0,8,10,4,24,False,False,0.5293583273887634,0.016953839920461178,0.00416216653684387,1.032790614059195,87,3,8,8,False,
diving48,val,Le6xdQ2OO8w_00154,data/Diving48_data/videos/Le6xdQ2OO8w_00154.mp4,0,8,10,4,3,False,False,0.2752825915813446,0.01589359506033361,0.00416216653684387,1.0134025600273162,113,3,8,8,False,
diving48,val,Le6xdQ2OO8w_00127,data/Diving48_data/videos/Le6xdQ2OO8w_00127.mp4,0,8,10,4,8,False,False,0.8971545100212097,0.016454339027404785,0.00416216653684387,0.9946138821542263,161,4,8,8,False,
diving48,val,Le6xdQ2OO8w_00121,data/Diving48_data/videos/Le6xdQ2OO8w_00121.mp4,0,8,10,4,21,False,False,0.22693316638469696,0.01484724204055965,0.00416216653684387,0.975831690011546,110,3,8,8,False,
diving48,val,Le6xdQ2OO8w_00119,data/Diving48_data/videos/Le6xdQ2OO8w_00119.mp4,0,8,10,4,8,False,False,0.4456169903278351,0.016511501045897603,0.00416216653684387,0.957704866072163,130,4,8,8,False,
diving48,val,bSsVWVfYU4w_00118,data/Diving48_data/videos/bSsVWVfYU4w_00118.mp4,0,8,10,4,15,False,False,0.4331752359867096,0.016432156087830663,0.00416216653684387,0.9385902541689575,151,4,8,8,False,
diving48,val,bl0C6d9QgIg_00022,data/Diving48_data/videos/bl0C6d9QgIg_00022.mp4,0,8,10,4,33,False,False,0.9620466232299805,0.015247625997290015,0.00416216653684387,0.9195247138850391,96,3,8,8,False,
diving48,val,bl0C6d9QgIg_00017,data/Diving48_data/videos/bl0C6d9QgIg_00017.mp4,0,8,10,4,43,False,False,0.6087571978569031,0.022602234035730362,0.00416216653684387,0.9011944341473281,250,7,8,8,False,
diving48,val,bl0C6d9QgIg_00023,data/Diving48_data/videos/bl0C6d9QgIg_00023.mp4,0,8,10,4,7,False,False,0.8749216794967651,0.01879167603328824,0.00416216653684387,0.8758518660906702,90,3,8,8,False,
diving48,val,bSsVWVfYU4w_00086,data/Diving48_data/videos/bSsVWVfYU4w_00086.mp4,0,8,10,4,26,False,False,0.9133591055870056,0.014000407885760069,0.00416216653684387,0.8539089281111956,53,2,8,8,False,
diving48,val,bSsVWVfYU4w_00169,data/Diving48_data/videos/bSsVWVfYU4w_00169.mp4,0,8,10,4,7,False,False,0.5225937962532043,0.017247064039111137,0.00416216653684387,0.836664130911231,141,4,8,8,False,
diving48,val,MbzIpx8kAD0_00025,data/Diving48_data/videos/MbzIpx8kAD0_00025.mp4,0,8,10,4,44,False,False,0.2411053329706192,0.014641023939475417,0.00416216653684387,0.8173368230927736,96,3,8,8,False,
diving48,val,ovWCmIMMkRI_00055,data/Diving48_data/videos/ovWCmIMMkRI_00055.mp4,0,8,10,4,7,False,False,0.6129953861236572,0.01604474405758083,0.00416216653684387,0.7999295790214092,88,3,8,8,False,
diving48,val,Le6xdQ2OO8w_00139,data/Diving48_data/videos/Le6xdQ2OO8w_00139.mp4,0,8,10,4,33,False,False,0.5397867560386658,0.018226467072963715,0.00416216653684387,0.780436848057434,150,4,8,8,False,
diving48,val,Le6xdQ2OO8w_00160,data/Diving48_data/videos/Le6xdQ2OO8w_00160.mp4,0,8,10,4,7,False,False,0.6510775089263916,0.015347626060247421,0.00416216653684387,0.7592973560094833,105,3,8,8,False,
diving48,val,Le6xdQ2OO8w_00120,data/Diving48_data/videos/Le6xdQ2OO8w_00120.mp4,0,8,10,4,8,False,False,0.8562894463539124,0.01564345695078373,0.00416216653684387,0.7409350939560682,96,3,8,8,False,
diving48,val,zmacW6f2Tdk_00048,data/Diving48_data/videos/zmacW6f2Tdk_00048.mp4,0,8,10,4,33,False,False,0.4736574590206146,0.014569808030501008,0.00416216653684387,0.7220905739814043,93,3,8,8,False,
diving48,val,cs8g1es4vfM_00034,data/Diving48_data/videos/cs8g1es4vfM_00034.mp4,1,8,10,4,7,False,False,0.4676283001899719,0.015662443125620484,0.00416216653684387,0.7047354171518236,64,2,8,8,False,
diving48,val,cs8g1es4vfM_00043,data/Diving48_data/videos/cs8g1es4vfM_00043.mp4,1,8,10,4,33,False,False,0.9410585165023804,0.016647020122036338,0.00416216653684387,0.6870265449397266,93,3,8,8,False,
diving48,val,CVAfPfVFulQ_00076,data/Diving48_data/videos/CVAfPfVFulQ_00076.mp4,1,8,10,4,7,False,False,0.9325661659240723,0.018734029959887266,0.00416216653684387,0.6672635020222515,92,3,8,8,False,
diving48,val,yHo2oERGo7A_00056,data/Diving48_data/videos/yHo2oERGo7A_00056.mp4,1,8,10,4,7,False,False,0.49512308835983276,0.01736227609217167,0.00416216653684387,0.6448975568637252,122,3,8,8,False,
diving48,val,ovWCmIMMkRI_00058,data/Diving48_data/videos/ovWCmIMMkRI_00058.mp4,1,8,10,4,7,False,False,0.8802224397659302,0.014137360034510493,0.00416216653684387,0.6257394270505756,105,3,8,8,False,
diving48,val,yHo2oERGo7A_00058,data/Diving48_data/videos/yHo2oERGo7A_00058.mp4,1,8,10,4,33,False,False,0.8461965918540955,0.014540472999215126,0.00416216653684387,0.6086662700399756,94,3,8,8,False,
diving48,val,cs8g1es4vfM_00056,data/Diving48_data/videos/cs8g1es4vfM_00056.mp4,1,8,10,4,33,False,False,0.5456967949867249,0.013180680805817246,0.00416216653684387,0.5916572329588234,102,3,8,8,False,
diving48,val,SbzcCzXjYSU_00049,data/Diving48_data/videos/SbzcCzXjYSU_00049.mp4,1,8,10,4,33,False,False,0.31006279587745667,0.015748373931273818,0.00416216653684387,0.5771445829886943,87,3,8,8,False,
diving48,val,cs8g1es4vfM_00010,data/Diving48_data/videos/cs8g1es4vfM_00010.mp4,1,8,10,4,7,False,False,0.49016961455345154,0.014748683897778392,0.00416216653684387,0.5578971188515425,77,2,8,8,False,
diving48,val,ovWCmIMMkRI_00034,data/Diving48_data/videos/ovWCmIMMkRI_00034.mp4,1,8,10,4,21,False,False,0.2515716850757599,0.01299462583847344,0.00416216653684387,0.5401244608219713,92,3,8,8,False,
diving48,val,yHo2oERGo7A_00057,data/Diving48_data/videos/yHo2oERGo7A_00057.mp4,1,8,10,4,7,False,False,0.9834132194519043,0.012261836091056466,0.00416216653684387,0.5248322170227766,102,3,8,8,False,
diving48,val,SbzcCzXjYSU_00056,data/Diving48_data/videos/SbzcCzXjYSU_00056.mp4,1,8,10,4,7,False,False,0.8601288795471191,0.015152171952649951,0.00416216653684387,0.5101314298808575,109,3,8,8,False,
diving48,val,jMEYIEYkpY0_00103,data/Diving48_data/videos/jMEYIEYkpY0_00103.mp4,1,8,10,4,33,False,False,0.5652058124542236,0.0178420830052346,0.004644927495974116,1.0969407260417938,140,4,8,8,False,
diving48,val,ovWCmIMMkRI_00033,data/Diving48_data/videos/ovWCmIMMkRI_00033.mp4,1,8,10,4,33,False,False,0.48852986097335815,0.014281820971518755,0.004644927495974116,1.0755557948723435,72,2,8,8,False,
diving48,val,ovWCmIMMkRI_00057,data/Diving48_data/videos/ovWCmIMMkRI_00057.mp4,1,8,10,4,33,False,False,0.446901798248291,0.014492800924926996,0.004644927495974116,1.0582004280295223,102,3,8,8,False,
diving48,val,MbzIpx8kAD0_00065,data/Diving48_data/videos/MbzIpx8kAD0_00065.mp4,1,8,10,4,24,False,False,0.3064102232456207,0.015871320152655244,0.004644927495974116,1.0402246818412095,164,4,8,8,False,
diving48,val,cs8g1es4vfM_00033,data/Diving48_data/videos/cs8g1es4vfM_00033.mp4,1,8,10,4,7,False,False,0.6031548380851746,0.01261755614541471,0.004644927495974116,1.0227683689445257,99,3,8,8,False,
diving48,val,cs8g1es4vfM_00032,data/Diving48_data/videos/cs8g1es4vfM_00032.mp4,1,8,10,4,33,False,False,0.669393002986908,0.017475815024226904,0.004644927495974116,1.0088393620681018,155,4,8,8,False,
diving48,val,ovWCmIMMkRI_00056,data/Diving48_data/videos/ovWCmIMMkRI_00056.mp4,1,8,10,4,7,False,False,0.7512903809547424,0.016422320157289505,0.004644927495974116,0.9900237149558961,90,3,8,8,False,
diving48,val,yHo2oERGo7A_00088,data/Diving48_data/videos/yHo2oERGo7A_00088.mp4,1,8,10,4,3,False,False,0.8140288591384888,0.014341560890898108,0.004644927495974116,0.9703641498927027,114,3,8,8,False,
diving48,val,zmacW6f2Tdk_00058,data/Diving48_data/videos/zmacW6f2Tdk_00058.mp4,2,8,10,4,33,False,False,0.8122785091400146,0.014758969889953732,0.004644927495974116,0.9528817380778491,126,4,8,8,False,
diving48,val,rRw7peH60Yw_00032,data/Diving48_data/videos/rRw7peH60Yw_00032.mp4,2,8,10,4,8,False,False,0.674041211605072,0.02097470499575138,0.004644927495974116,0.9356831798795611,128,4,8,8,False,
diving48,val,zmacW6f2Tdk_00057,data/Diving48_data/videos/zmacW6f2Tdk_00057.mp4,2,8,10,4,7,False,False,0.6613243222236633,0.01685094111599028,0.004644927495974116,0.9123030330520123,127,4,8,8,False,
diving48,val,Le6xdQ2OO8w_00215,data/Diving48_data/videos/Le6xdQ2OO8w_00215.mp4,3,8,10,4,7,False,False,0.829974353313446,0.010870559141039848,0.004644927495974116,0.8925781659781933,70,2,8,8,False,
diving48,val,Le6xdQ2OO8w_00201,data/Diving48_data/videos/Le6xdQ2OO8w_00201.mp4,3,8,10,4,8,False,True,0.5489931702613831,0.019331707851961255,0.004644927495974116,0.8792187150102109,133,4,8,8,False,
diving48,val,zmacW6f2Tdk_00039,data/Diving48_data/videos/zmacW6f2Tdk_00039.mp4,3,8,10,4,33,False,False,0.6606184244155884,0.018620189046487212,0.004644927495974116,0.8575398470275104,96,3,8,8,False,
diving48,val,Jud-06v5Ghw_00001,data/Diving48_data/videos/Jud-06v5Ghw_00001.mp4,3,8,10,4,7,False,True,0.5335607528686523,0.013332173926755786,0.004644927495974116,0.8356573549099267,115,3,8,8,False,
diving48,val,Le6xdQ2OO8w_00249,data/Diving48_data/videos/Le6xdQ2OO8w_00249.mp4,3,8,10,4,33,False,True,0.636649489402771,0.015810689888894558,0.004644927495974116,0.8204929751809686,86,3,8,8,False,
diving48,val,Le6xdQ2OO8w_00256,data/Diving48_data/videos/Le6xdQ2OO8w_00256.mp4,3,8,10,4,33,False,False,0.9073841571807861,0.014477330027148128,0.004644927495974116,0.8022697111591697,60,2,8,8,False,
diving48,val,jMEYIEYkpY0_00031,data/Diving48_data/videos/jMEYIEYkpY0_00031.mp4,3,8,10,4,7,False,False,0.7216004133224487,0.013723084004595876,0.004644927495974116,0.7843103369232267,117,3,8,8,False,
diving48,val,Le6xdQ2OO8w_00202,data/Diving48_data/videos/Le6xdQ2OO8w_00202.mp4,3,8,10,4,21,False,False,0.6107080578804016,0.015519578941166401,0.004644927495974116,0.7678206521086395,105,3,8,8,False,
diving48,val,CVAfPfVFulQ_00079,data/Diving48_data/videos/CVAfPfVFulQ_00079.mp4,3,8,10,4,8,False,True,0.9019486904144287,0.010946603026241064,0.004644927495974116,0.7501653989311308,41,1,8,8,False,
diving48,val,CVAfPfVFulQ_00084,data/Diving48_data/videos/CVAfPfVFulQ_00084.mp4,3,8,10,4,7,False,False,0.44065651297569275,0.014210307039320469,0.004644927495974116,0.7371091891545802,71,2,8,8,False,
diving48,val,yHo2oERGo7A_00006,data/Diving48_data/videos/yHo2oERGo7A_00006.mp4,3,8,10,4,21,False,False,0.32102546095848083,0.012925015995278955,0.004644927495974116,0.7201311830431223,61,2,8,8,False,
diving48,val,SbzcCzXjYSU_00020,data/Diving48_data/videos/SbzcCzXjYSU_00020.mp4,3,8,10,4,7,False,False,0.9749366044998169,0.012656110804527998,0.004644927495974116,0.7038725349120796,62,2,8,8,False,
diving48,val,jMEYIEYkpY0_00030,data/Diving48_data/videos/jMEYIEYkpY0_00030.mp4,3,8,10,4,7,False,False,0.6309699416160583,0.014099552063271403,0.004644927495974116,0.6894462329801172,113,3,8,8,False,
diving48,val,Le6xdQ2OO8w_00172,data/Diving48_data/videos/Le6xdQ2OO8w_00172.mp4,3,8,10,4,33,False,False,0.8466891050338745,0.015366951934993267,0.004644927495974116,0.672897162148729,105,3,8,8,False,
diving48,val,Le6xdQ2OO8w_00228,data/Diving48_data/videos/Le6xdQ2OO8w_00228.mp4,3,8,10,4,33,False,False,0.3659307360649109,0.016078050015494227,0.004644927495974116,0.655089246109128,76,2,8,8,False,
diving48,val,roFeEJPgJD8_00038,data/Diving48_data/videos/roFeEJPgJD8_00038.mp4,3,8,10,4,21,False,False,0.7392306923866272,0.01661175419576466,0.004644927495974116,0.6357798702083528,79,2,8,8,False,
diving48,val,jMEYIEYkpY0_00029,data/Diving48_data/videos/jMEYIEYkpY0_00029.mp4,3,8,10,4,33,False,True,0.6841394901275635,0.019143664045259356,0.004644927495974116,0.6168729199562222,189,5,8,8,False,
