coverage,stride,top1,n,model,dataset
10,1,0.04979811574697174,743,videomamba,diving48
10,2,0.05383580080753701,743,videomamba,diving48
10,4,0.047106325706594884,743,videomamba,diving48
10,8,0.05383580080753701,743,videomamba,diving48
10,16,0.052489905787348586,743,videomamba,diving48
25,1,0.06864064602960969,743,videomamba,diving48
25,2,0.07133243606998654,743,videomamba,diving48
25,4,0.07806191117092867,743,videomamba,diving48
25,8,0.07537012113055182,743,videomamba,diving48
25,16,0.063257065948856,743,videomamba,diving48
50,1,0.13324360699865412,743,videomamba,diving48
50,2,0.12113055181695828,743,videomamba,diving48
50,4,0.1063257065948856,743,videomamba,diving48
50,8,0.1117092866756393,743,videomamba,diving48
50,16,0.10497981157469717,743,videomamba,diving48
75,1,0.19515477792732167,743,videomamba,diving48
75,2,0.18438761776581428,743,videomamba,diving48
75,4,0.1857335127860027,743,videomamba,diving48
75,8,0.17900403768506057,743,videomamba,diving48
75,16,0.14535666218034993,743,videomamba,diving48
100,1,0.19784656796769853,743,videomamba,diving48
100,2,0.18438761776581428,743,videomamba,diving48
100,4,0.1695827725437416,743,videomamba,diving48
100,8,0.1695827725437416,743,videomamba,diving48
100,16,0.15746971736204576,743,videomamba,diving48
