coverage,stride,top1,n
10,1,0.0605652759084791,743
10,2,0.0592193808882907,743
10,4,0.0551816958277254,743
10,8,0.0619111709286675,743
10,16,0.0578734858681022,743
25,1,0.0942126514131897,743
25,2,0.0767160161507402,743
25,4,0.0767160161507402,743
25,8,0.0672947510094212,743
25,16,0.0646029609690444,743
50,1,0.1453566621803499,743
50,2,0.1345895020188425,743
50,4,0.1534320323014804,743
50,8,0.1224764468371467,743
50,16,0.0955585464333782,743
75,1,0.2449528936742934,743
75,2,0.2422611036339165,743
75,4,0.2462987886944818,743
75,8,0.2139973082099596,743
75,16,0.1951547779273216,743
100,1,0.2395693135935397,743
100,2,0.2422611036339165,743
100,4,0.2395693135935397,743
100,8,0.2476446837146702,743
100,16,0.2301480484522207,743
