dataset,split,video_id,video_path,label_id,budget,coverage,stride,pred_id,correct_top1,correct_top5,confidence,decode_time_s,inference_time_s,total_time_s,source_frames,candidate_frames,processed_frames,model_input_frames,skipped,error
driveact,val,vp15_run1_2018-05-30-13-05-35_10394_10415,data/DriveAct_data/clips/closing_bottle/vp15_run1_2018-05-30-13-05-35_10394_10415.mp4,0,8,75,4,0,True,True,0.7421922087669373,0.023053221055306494,0.006058806877263123,0.8274340870557353,21,4,8,8,False,
driveact,val,vp14_run1_2018-05-30-10-11-09_6012_6033,data/DriveAct_data/clips/closing_bottle/vp14_run1_2018-05-30-10-11-09_6012_6033.mp4,0,8,75,4,13,False,True,0.7522323727607727,0.008953014970757067,0.006058806877263123,0.8018137459876016,21,4,8,8,False,
driveact,val,vp14_run1_2018-05-30-10-11-09_5966_6012,data/DriveAct_data/clips/closing_bottle/vp14_run1_2018-05-30-10-11-09_5966_6012.mp4,0,8,75,4,13,False,True,0.8395615816116333,0.012745131039991975,0.006058806877263123,0.7904222749639302,47,8,8,8,False,
driveact,val,vp14_run2_2018-05-30-10-42-33_3887_3915,data/DriveAct_data/clips/closing_bottle/vp14_run2_2018-05-30-10-42-33_3887_3915.mp4,0,8,75,4,0,True,True,0.9191769957542419,0.011228970950469375,0.006058806877263123,0.7747242480982095,29,6,8,8,False,
driveact,val,vp14_run2_2018-05-30-10-42-33_3842_3887,data/DriveAct_data/clips/closing_bottle/vp14_run2_2018-05-30-10-42-33_3842_3887.mp4,0,8,75,4,13,False,True,0.948736310005188,0.012737073004245758,0.006058806877263123,0.7610722950194031,45,8,8,8,False,
driveact,val,vp15_run1_2018-05-30-13-05-35_10300_10347,data/DriveAct_data/clips/closing_bottle/vp15_run1_2018-05-30-13-05-35_10300_10347.mp4,0,8,75,4,0,True,True,0.8019618988037109,0.013141517993062735,0.006058806877263123,0.745713145006448,46,8,8,8,False,
driveact,val,vp15_run2_2018-05-30-13-34-33_5786_5802,data/DriveAct_data/clips/closing_bottle/vp15_run2_2018-05-30-13-34-33_5786_5802.mp4,0,8,75,4,5,False,False,0.9945400357246399,0.00983173493295908,0.006058806877263123,0.7288524099858478,17,4,8,8,False,
driveact,val,vp14_run2_2018-05-30-10-42-33_16271_16309,data/DriveAct_data/clips/closing_bottle/vp14_run2_2018-05-30-10-42-33_16271_16309.mp4,0,8,75,4,13,False,True,0.5646526217460632,0.012537413975223899,0.006058806877263123,0.7164653460495174,38,7,8,8,False,
driveact,val,vp15_run2_2018-05-30-13-34-33_6488_6516,data/DriveAct_data/clips/closing_bottle/vp15_run2_2018-05-30-13-34-33_6488_6516.mp4,0,8,75,4,0,True,True,0.4787552058696747,0.01161524502094835,0.006058806877263123,0.7007869330700487,29,6,8,8,False,
driveact,val,vp15_run1_2018-05-30-13-05-35_10347_10394,data/DriveAct_data/clips/closing_bottle/vp15_run1_2018-05-30-13-05-35_10347_10394.mp4,0,8,75,4,0,True,True,0.6394690275192261,0.013500491972081363,0.006058806877263123,0.6861397039610893,47,8,8,8,False,
driveact,val,vp14_run1_2018-05-30-10-11-09_12052_12093,data/DriveAct_data/clips/closing_bottle/vp14_run1_2018-05-30-10-11-09_12052_12093.mp4,0,8,75,4,0,True,True,0.334445595741272,0.01195288693998009,0.006058806877263123,0.6692795919952914,40,8,8,8,False,
driveact,val,vp14_run2_2018-05-30-10-42-33_20272_20317,data/DriveAct_data/clips/closing_bottle/vp14_run2_2018-05-30-10-42-33_20272_20317.mp4,0,8,75,4,0,True,True,0.5347444415092468,0.012975931982509792,0.006058806877263123,0.6548769450746477,44,8,8,8,False,
driveact,val,vp15_run1_2018-05-30-13-05-35_5045_5090,data/DriveAct_data/clips/closing_bottle/vp15_run1_2018-05-30-13-05-35_5045_5090.mp4,0,8,75,4,4,False,True,0.9687146544456482,0.012502429075539112,0.006058806877263123,0.6389874449232593,45,8,8,8,False,
driveact,val,vp14_run1_2018-05-30-10-11-09_104_124,data/DriveAct_data/clips/closing_door_inside/vp14_run1_2018-05-30-10-11-09_104_124.mp4,1,8,75,4,1,True,True,0.8999897241592407,0.00892140599898994,0.006058806877263123,0.6238504089415073,20,4,8,8,False,
driveact,val,vp15_run2_2018-05-30-13-34-33_169_183,data/DriveAct_data/clips/closing_door_inside/vp15_run2_2018-05-30-13-34-33_169_183.mp4,1,8,75,4,1,True,True,0.7747418284416199,0.008737345924600959,0.006058806877263123,0.6122186679858714,13,3,8,8,False,
driveact,val,vp15_run1_2018-05-30-13-05-35_144_160,data/DriveAct_data/clips/closing_door_inside/vp15_run1_2018-05-30-13-05-35_144_160.mp4,1,8,75,4,1,True,True,0.8630731701850891,0.009411154082044959,0.006058806877263123,0.6006171019980684,17,4,8,8,False,
driveact,val,vp14_run2_2018-05-30-10-42-33_114_128,data/DriveAct_data/clips/closing_door_inside/vp14_run2_2018-05-30-10-42-33_114_128.mp4,1,8,75,4,1,True,True,0.49223166704177856,0.008311341051012278,0.006058806877263123,0.5889663140987977,14,3,8,8,False,
driveact,val,vp14_run1_2018-05-30-10-11-09_24557_24581,data/DriveAct_data/clips/closing_door_outside/vp14_run1_2018-05-30-10-11-09_24557_24581.mp4,2,8,75,4,2,True,True,0.705430805683136,0.010496314032934606,0.006058806877263123,0.5784165658988059,24,5,8,8,False,
driveact,val,vp15_run1_2018-05-30-13-05-35_18818_18841,data/DriveAct_data/clips/closing_door_outside/vp15_run1_2018-05-30-13-05-35_18818_18841.mp4,2,8,75,4,2,True,True,0.8004123568534851,0.010133282979950309,0.006058806877263123,0.5651875659823418,23,5,8,8,False,
driveact,val,vp15_run2_2018-05-30-13-34-33_19707_19726,data/DriveAct_data/clips/closing_door_outside/vp15_run2_2018-05-30-13-34-33_19707_19726.mp4,2,8,75,4,2,True,True,0.826353907585144,0.010084280977025628,0.006058806877263123,0.5523985170293599,20,4,8,8,False,
driveact,val,vp14_run2_2018-05-30-10-42-33_22339_22349,data/DriveAct_data/clips/closing_door_outside/vp14_run2_2018-05-30-10-42-33_22339_22349.mp4,2,8,75,4,2,True,True,0.7360717058181763,0.007048938074149191,0.006058806877263123,0.540020921966061,10,2,8,8,False,
driveact,val,vp14_run1_2018-05-30-10-11-09_23166_23211,data/DriveAct_data/clips/closing_laptop/vp14_run1_2018-05-30-10-11-09_23166_23211.mp4,3,8,75,4,32,False,False,0.5799291729927063,0.01408138102851808,0.006058806877263123,0.5306616959860548,45,8,8,8,False,
driveact,val,vp14_run2_2018-05-30-10-42-33_13691_13733,data/DriveAct_data/clips/closing_laptop/vp14_run2_2018-05-30-10-42-33_13691_13733.mp4,3,8,75,4,17,False,True,0.9481496214866638,0.012610872043296695,0.006058806877263123,0.5135650440352038,42,8,8,8,False,
driveact,val,vp15_run1_2018-05-30-13-05-35_6441_6476,data/DriveAct_data/clips/closing_laptop/vp15_run1_2018-05-30-13-05-35_6441_6476.mp4,3,8,75,4,32,False,True,0.9408258199691772,0.011669030995108187,0.006058806877263123,0.49750508507713675,35,7,8,8,False,
driveact,val,vp14_run1_2018-05-30-10-11-09_23211_23244,data/DriveAct_data/clips/closing_laptop/vp14_run1_2018-05-30-10-11-09_23211_23244.mp4,3,8,75,4,24,False,False,0.814174234867096,0.01252645906060934,0.006058806877263123,0.48314153403043747,33,7,8,8,False,
driveact,val,vp14_run1_2018-05-30-10-11-09_23119_23166,data/DriveAct_data/clips/closing_laptop/vp14_run1_2018-05-30-10-11-09_23119_23166.mp4,3,8,75,4,32,False,False,0.8934159278869629,0.014076901017688215,0.006058806877263123,0.46724235301371664,46,8,8,8,False,
driveact,val,vp15_run1_2018-05-30-13-05-35_6768_6800,data/DriveAct_data/clips/closing_laptop/vp15_run1_2018-05-30-13-05-35_6768_6800.mp4,3,8,75,4,16,False,True,0.21722204983234406,0.010842215036973357,0.006058806877263123,0.4500953709939495,32,6,8,8,False,
driveact,val,vp15_run2_2018-05-30-13-34-33_7678_7702,data/DriveAct_data/clips/closing_laptop/vp15_run2_2018-05-30-13-34-33_7678_7702.mp4,3,8,75,4,17,False,False,0.5552718639373779,0.010918376967310905,0.006058806877263123,0.43652382295113057,23,5,8,8,False,
driveact,val,vp14_run2_2018-05-30-10-42-33_20205_20251,data/DriveAct_data/clips/drinking/vp14_run2_2018-05-30-10-42-33_20205_20251.mp4,4,8,75,4,13,False,True,0.4993603527545929,0.014547759084962308,0.006058806877263123,0.42259661306161433,47,8,8,8,False,
driveact,val,vp14_run2_2018-05-30-10-42-33_20115_20160,data/DriveAct_data/clips/drinking/vp14_run2_2018-05-30-10-42-33_20115_20160.mp4,4,8,75,4,5,False,True,0.947982907295227,0.014971437980420887,0.006058806877263123,0.4044738180236891,45,8,8,8,False,
driveact,val,vp14_run2_2018-05-30-10-42-33_3770_3816,data/DriveAct_data/clips/drinking/vp14_run2_2018-05-30-10-42-33_3770_3816.mp4,4,8,75,4,4,True,True,0.9231387376785278,0.012801724020391703,0.006058806877263123,0.3858684320002794,47,8,8,8,False,
driveact,val,vp14_run2_2018-05-30-10-42-33_16194_16240,data/DriveAct_data/clips/drinking/vp14_run2_2018-05-30-10-42-33_16194_16240.mp4,4,8,75,4,5,False,True,0.5256783962249756,0.012952337972819805,0.006058806877263123,0.37028851395007223,47,8,8,8,False,
driveact,val,vp15_run2_2018-05-30-13-34-33_6443_6488,data/DriveAct_data/clips/drinking/vp15_run2_2018-05-30-13-34-33_6443_6488.mp4,4,8,75,4,13,False,True,0.7829964756965637,0.016957034938968718,0.00469525630978751,0.7949172699591145,45,8,8,8,False,
driveact,val,vp14_run1_2018-05-30-10-11-09_5918_5963,data/DriveAct_data/clips/drinking/vp14_run1_2018-05-30-10-11-09_5918_5963.mp4,4,8,75,4,5,False,False,0.9649677276611328,0.015264137997291982,0.00469525630978751,0.7692734450101852,45,8,8,8,False,
driveact,val,vp15_run1_2018-05-30-13-05-35_4994_5040,data/DriveAct_data/clips/drinking/vp15_run1_2018-05-30-13-05-35_4994_5040.mp4,4,8,75,4,13,False,True,0.668917715549469,0.013075045892037451,0.00469525630978751,0.7509463289752603,47,8,8,8,False,
driveact,val,vp15_run1_2018-05-30-13-05-35_10269_10300,data/DriveAct_data/clips/drinking/vp15_run1_2018-05-30-13-05-35_10269_10300.mp4,4,8,75,4,25,False,True,0.9261656403541565,0.014477959019131958,0.00469525630978751,0.7351591850165278,32,6,8,8,False,
driveact,val,vp15_run1_2018-05-30-13-05-35_4554_4563,data/DriveAct_data/clips/drinking/vp15_run1_2018-05-30-13-05-35_4554_4563.mp4,4,8,75,4,5,False,False,0.9898040294647217,0.0073418369283899665,0.00469525630978751,0.7179346710909158,9,2,8,8,False,
driveact,val,vp14_run2_2018-05-30-10-42-33_3816_3842,data/DriveAct_data/clips/drinking/vp14_run2_2018-05-30-10-42-33_3816_3842.mp4,4,8,75,4,5,False,True,0.9856501221656799,0.010166013962589204,0.00469525630978751,0.7084175240015611,26,5,8,8,False,
driveact,val,vp15_run1_2018-05-30-13-05-35_10223_10269,data/DriveAct_data/clips/drinking/vp15_run1_2018-05-30-13-05-35_10223_10269.mp4,4,8,75,4,4,True,True,0.9167794585227966,0.012943599955178797,0.00469525630978751,0.6952073300490156,47,8,8,8,False,
driveact,val,vp15_run2_2018-05-30-13-34-33_5728_5773,data/DriveAct_data/clips/drinking/vp15_run2_2018-05-30-13-34-33_5728_5773.mp4,4,8,75,4,5,False,False,0.9946710467338562,0.01343060506042093,0.00469525630978751,0.6795107939979061,44,8,8,8,False,
