coverage,stride,top1,n,model,dataset
10,1,0.379464,448,videomamba,driveact
10,2,0.368304,448,videomamba,driveact
10,4,0.361607,448,videomamba,driveact
10,8,0.332589,448,videomamba,driveact
10,16,0.332589,448,videomamba,driveact
25,1,0.435268,448,videomamba,driveact
25,2,0.433036,448,videomamba,driveact
25,4,0.435268,448,videomamba,driveact
25,8,0.410714,448,videomamba,driveact
25,16,0.332589,448,videomamba,driveact
50,1,0.502232,448,videomamba,driveact
50,2,0.493304,448,videomamba,driveact
50,4,0.504464,448,videomamba,driveact
50,8,0.459821,448,videomamba,driveact
50,16,0.415179,448,videomamba,driveact
75,1,0.542411,448,videomamba,driveact
75,2,0.546875,448,videomamba,driveact
75,4,0.535714,448,videomamba,driveact
75,8,0.520089,448,videomamba,driveact
75,16,0.464286,448,videomamba,driveact
100,1,0.575893,448,videomamba,driveact
100,2,0.578125,448,videomamba,driveact
100,4,0.564732,448,videomamba,driveact
100,8,0.549107,448,videomamba,driveact
100,16,0.484375,448,videomamba,driveact
