coverage,stride,top1,n,model,dataset
10,1,0.12723214285714285,448,videomamba,driveact
10,2,0.12723214285714285,448,videomamba,driveact
10,4,0.12723214285714285,448,videomamba,driveact
10,8,0.12723214285714285,448,videomamba,driveact
10,16,0.12723214285714285,448,videomamba,driveact
25,1,0.12946428571428573,448,videomamba,driveact
25,2,0.125,448,videomamba,driveact
25,4,0.12723214285714285,448,videomamba,driveact
25,8,0.12053571428571429,448,videomamba,driveact
25,16,0.12723214285714285,448,videomamba,driveact
50,1,0.13169642857142858,448,videomamba,driveact
50,2,0.13616071428571427,448,videomamba,driveact
50,4,0.12946428571428573,448,videomamba,driveact
50,8,0.12276785714285714,448,videomamba,driveact
50,16,0.12276785714285714,448,videomamba,driveact
75,1,0.12946428571428573,448,videomamba,driveact
75,2,0.12723214285714285,448,videomamba,driveact
75,4,0.12723214285714285,448,videomamba,driveact
75,8,0.12276785714285714,448,videomamba,driveact
75,16,0.12053571428571429,448,videomamba,driveact
100,1,0.12946428571428573,448,videomamba,driveact
100,2,0.125,448,videomamba,driveact
100,4,0.13392857142857142,448,videomamba,driveact
100,8,0.12946428571428573,448,videomamba,driveact
100,16,0.11830357142857142,448,videomamba,driveact
