coverage,stride,top1,n,model,dataset
10,1,0.35044642857142855,448,videomamba,driveact
10,2,0.35267857142857145,448,videomamba,driveact
10,4,0.34598214285714285,448,videomamba,driveact
10,8,0.33482142857142855,448,videomamba,driveact
10,16,0.33482142857142855,448,videomamba,driveact
25,1,0.4017857142857143,448,videomamba,driveact
25,2,0.39955357142857145,448,videomamba,driveact
25,4,0.39955357142857145,448,videomamba,driveact
25,8,0.38392857142857145,448,videomamba,driveact
25,16,0.33482142857142855,448,videomamba,driveact
50,1,0.4375,448,videomamba,driveact
50,2,0.42857142857142855,448,videomamba,driveact
50,4,0.42410714285714285,448,videomamba,driveact
50,8,0.40401785714285715,448,videomamba,driveact
50,16,0.38392857142857145,448,videomamba,driveact
75,1,0.4375,448,videomamba,driveact
75,2,0.4375,448,videomamba,driveact
75,4,0.4375,448,videomamba,driveact
75,8,0.421875,448,videomamba,driveact
75,16,0.3950892857142857,448,videomamba,driveact
100,1,0.45535714285714285,448,videomamba,driveact
100,2,0.4419642857142857,448,videomamba,driveact
100,4,0.453125,448,videomamba,driveact
100,8,0.45535714285714285,448,videomamba,driveact
100,16,0.40848214285714285,448,videomamba,driveact
