coverage,stride,top1,n,model,dataset
10,1,0.0620669745958429,3464,videomamba,ssv2
10,2,0.0542725173210161,3464,videomamba,ssv2
10,4,0.0484988452655889,3464,videomamba,ssv2
10,8,0.0427251732101616,3464,videomamba,ssv2
10,16,0.0427251732101616,3464,videomamba,ssv2
25,1,0.1172055427251732,3464,videomamba,ssv2
25,2,0.1079676674364896,3464,videomamba,ssv2
25,4,0.0964203233256351,3464,videomamba,ssv2
25,8,0.0681293302540415,3464,videomamba,ssv2
25,16,0.0467667436489607,3464,videomamba,ssv2
50,1,0.2673037938024906,3453,videomamba,ssv2
50,2,0.2588303416328894,3454,videomamba,ssv2
50,4,0.2383569568990454,3457,videomamba,ssv2
50,8,0.1793462539774371,3457,videomamba,ssv2
50,16,0.10132794457274827,3464,videomamba,ssv2
75,1,0.4072867298578199,3376,videomamba,ssv2
75,2,0.39668442865600945,3378,videomamba,ssv2
75,4,0.39414547604967476,3382,videomamba,ssv2
75,8,0.35058823529411764,3400,videomamba,ssv2
75,16,0.20268691588785046,3424,videomamba,ssv2
100,1,0.4387786259541985,3275,videomamba,ssv2
100,2,0.43898718730933495,3278,videomamba,ssv2
100,4,0.44038929440389296,3288,videomamba,ssv2
100,8,0.42462845010615713,3297,videomamba,ssv2
100,16,0.2980192076830732,3332,videomamba,ssv2
