coverage,stride,top1,n,model,dataset
10,1,0.0061113626075147125,4418,vivit,autsl
10,2,0.005885015844273427,4418,vivit,autsl
10,4,0.007243096423721141,4418,vivit,autsl
10,8,0.005658669081032141,4418,vivit,autsl
10,16,0.005658669081032141,4418,vivit,autsl
25,1,0.05726573110004527,4418,vivit,autsl
25,2,0.034404708012675415,4418,vivit,autsl
25,4,0.019465821638750568,4418,vivit,autsl
25,8,0.009506564056133997,4418,vivit,autsl
25,16,0.01041195110909914,4418,vivit,autsl
50,1,0.2890448166591218,4418,vivit,autsl
50,2,0.19488456315074695,4418,vivit,autsl
50,4,0.0993662290629244,4418,vivit,autsl
50,8,0.04685377999094613,4418,vivit,autsl
50,16,0.03010411951109099,4418,vivit,autsl
75,1,0.384336803983703,4418,vivit,autsl
75,2,0.33680398370303305,4418,vivit,autsl
75,4,0.19827976459936622,4418,vivit,autsl
75,8,0.0758261656858307,4418,vivit,autsl
75,16,0.0488909008601177,4418,vivit,autsl
100,1,0.40018107741059306,4418,vivit,autsl
100,2,0.37980986871887734,4418,vivit,autsl
100,4,0.20484382073336352,4418,vivit,autsl
100,8,0.07039384336803983,4418,vivit,autsl
100,16,0.03508374830239928,4418,vivit,autsl
