coverage,stride,top1,n,model,dataset
10,1,0.4553672316384181,885,vivit,hmdb51
10,2,0.4056497175141243,885,vivit,hmdb51
10,4,0.36271186440677966,885,vivit,hmdb51
10,8,0.3254237288135593,885,vivit,hmdb51
10,16,0.3220338983050847,885,vivit,hmdb51
25,1,0.5830508474576271,885,vivit,hmdb51
25,2,0.5548022598870056,885,vivit,hmdb51
25,4,0.5084745762711864,885,vivit,hmdb51
25,8,0.43389830508474575,885,vivit,hmdb51
25,16,0.37401129943502825,885,vivit,hmdb51
50,1,0.7344632768361582,885,vivit,hmdb51
50,2,0.7073446327683616,885,vivit,hmdb51
50,4,0.632768361581921,885,vivit,hmdb51
50,8,0.56045197740113,885,vivit,hmdb51
50,16,0.4971751412429379,885,vivit,hmdb51
75,1,0.7943502824858757,885,vivit,hmdb51
75,2,0.7796610169491526,885,vivit,hmdb51
75,4,0.7446327683615819,885,vivit,hmdb51
75,8,0.6700564971751413,885,vivit,hmdb51
75,16,0.5548022598870056,885,vivit,hmdb51
100,1,0.8033898305084746,885,vivit,hmdb51
100,2,0.7966101694915254,885,vivit,hmdb51
100,4,0.7615819209039548,885,vivit,hmdb51
100,8,0.6949152542372882,885,vivit,hmdb51
100,16,0.6135593220338983,885,vivit,hmdb51
