coverage,stride,top1,n,model,dataset
10,1,0.0225988700564971,177,vivit,ssv2
10,2,0.0169491525423728,177,vivit,ssv2
10,4,0.0169491525423728,177,vivit,ssv2
10,8,0.0169491525423728,177,vivit,ssv2
10,16,0.0169491525423728,177,vivit,ssv2
25,1,0.0677966101694915,177,vivit,ssv2
25,2,0.03954802259887,177,vivit,ssv2
25,4,0.0282485875706214,177,vivit,ssv2
25,8,0.0225988700564971,177,vivit,ssv2
25,16,0.0225988700564971,177,vivit,ssv2
50,1,0.2598870056497175,177,vivit,ssv2
50,2,0.1694915254237288,177,vivit,ssv2
50,4,0.0734463276836158,177,vivit,ssv2
50,8,0.0677966101694915,177,vivit,ssv2
50,16,0.0451977401129943,177,vivit,ssv2
75,1,0.3333333333333333,177,vivit,ssv2
75,2,0.2598870056497175,177,vivit,ssv2
75,4,0.135593220338983,177,vivit,ssv2
75,8,0.0621468926553672,177,vivit,ssv2
75,16,0.03954802259887,177,vivit,ssv2
100,1,0.3785310734463277,177,vivit,ssv2
100,2,0.3050847457627119,177,vivit,ssv2
100,4,0.1807909604519774,177,vivit,ssv2
100,8,0.1016949152542373,177,vivit,ssv2
100,16,0.0451977401129943,177,vivit,ssv2
