coverage,stride,top1,n,model,dataset
10,1,0.02824858757062147,177,vivit,ssv2
10,2,0.022598870056497175,177,vivit,ssv2
10,4,0.01694915254237288,177,vivit,ssv2
10,8,0.01694915254237288,177,vivit,ssv2
10,16,0.01694915254237288,177,vivit,ssv2
25,1,0.10734463276836158,177,vivit,ssv2
25,2,0.05649717514124294,177,vivit,ssv2
25,4,0.05084745762711865,177,vivit,ssv2
25,8,0.02824858757062147,177,vivit,ssv2
25,16,0.022598870056497175,177,vivit,ssv2
50,1,0.2655367231638418,177,vivit,ssv2
50,2,0.20903954802259886,177,vivit,ssv2
50,4,0.11864406779661017,177,vivit,ssv2
50,8,0.04519774011299435,177,vivit,ssv2
50,16,0.03389830508474576,177,vivit,ssv2
75,1,0.3615819209039548,177,vivit,ssv2
75,2,0.2655367231638418,177,vivit,ssv2
75,4,0.1807909604519774,177,vivit,ssv2
75,8,0.096045197740113,177,vivit,ssv2
75,16,0.04519774011299435,177,vivit,ssv2
100,1,0.3728813559322034,177,vivit,ssv2
100,2,0.327683615819209,177,vivit,ssv2
100,4,0.21468926553672316,177,vivit,ssv2
100,8,0.11299435028248588,177,vivit,ssv2
100,16,0.062146892655367235,177,vivit,ssv2
