coverage,stride,top1,n,model,dataset
10,1,0.8074257425742575,2020,vivit,ucf101
10,2,0.7707920792079208,2020,vivit,ucf101
10,4,0.700990099009901,2020,vivit,ucf101
10,8,0.6455445544554456,2020,vivit,ucf101
10,16,0.6049504950495049,2020,vivit,ucf101
25,1,0.8797029702970297,2020,vivit,ucf101
25,2,0.8673267326732673,2020,vivit,ucf101
25,4,0.8341584158415841,2020,vivit,ucf101
25,8,0.7613861386138614,2020,vivit,ucf101
25,16,0.6871287128712872,2020,vivit,ucf101
50,1,0.9099009900990099,2020,vivit,ucf101
50,2,0.906930693069307,2020,vivit,ucf101
50,4,0.8960396039603961,2020,vivit,ucf101
50,8,0.8564356435643564,2020,vivit,ucf101
50,16,0.7846534653465347,2020,vivit,ucf101
75,1,0.9311881188118812,2020,vivit,ucf101
75,2,0.9326732673267327,2020,vivit,ucf101
75,4,0.9252475247524753,2020,vivit,ucf101
75,8,0.9094059405940594,2020,vivit,ucf101
75,16,0.848019801980198,2020,vivit,ucf101
100,1,0.9346534653465347,2020,vivit,ucf101
100,2,0.9326732673267327,2020,vivit,ucf101
100,4,0.9331683168316832,2020,vivit,ucf101
100,8,0.9202970297029703,2020,vivit,ucf101
100,16,0.8846534653465347,2020,vivit,ucf101
