dataset,label_id,n_videos,mean_entropy,mean_concentration,mean_peak_window,std_entropy
diving48,0,5,1.636202459487608,0.31765057546564934,4.2,0.09182801805371592
diving48,1,5,1.4930084879547316,0.37736709985154027,4.0,0.2766518122261806
diving48,2,3,1.011753646890531,0.5780659571050394,4.666666666666667,0.12500197642829106
diving48,3,5,1.542774130085044,0.3566132151031729,5.0,0.18917270892116445
diving48,4,5,1.7790766687382866,0.2580674023089907,6.6,0.5122590424649721
diving48,5,5,1.2060585997967077,0.4970344979290009,2.6,0.11794596156654795
diving48,6,5,1.5112040960441373,0.36977894189659705,2.2,0.23636529272817802
diving48,7,5,1.6943179180735004,0.29341454679285783,6.0,0.24609282920769981
diving48,8,5,1.640692436687369,0.3157781095365927,6.6,0.4702111456050343
diving48,9,2,1.4582138013857346,0.39187761120026615,5.0,0.262348408137828
diving48,10,5,1.4142858409733856,0.4101969935814177,3.0,0.13068636285278487
diving48,11,5,1.8040078620810476,0.24767028712819888,3.2,0.05937353450732465
diving48,12,5,1.4617277439978542,0.3904121833094063,0.8,0.1715762487576501
diving48,13,5,1.5961121032715215,0.3343695525914937,1.6,0.33884548268270076
diving48,14,2,1.2764592679517146,0.46767513893045365,6.0,0.4219636409456331
diving48,15,5,1.7416993013498843,0.2736549752161187,6.0,0.14297253407433755
diving48,16,5,1.6903309747543225,0.29507723129972757,3.6,0.32562005071043015
diving48,17,5,1.4471754560853465,0.3964809587382537,6.6,0.3902701752550412
diving48,18,5,1.6990173544619303,0.29145472959744484,6.6,0.280941896337789
diving48,19,5,1.022754046189434,0.5734784342787963,5.6,0.13233521976639695
diving48,20,5,1.5682511837316198,0.3459884584944975,6.2,0.377379925139439
diving48,21,5,1.1818786397012602,0.5071183245121482,6.8,0.42134562017015076
diving48,22,5,1.250434651003916,0.4785282471720941,4.2,0.3827909007110386
diving48,23,5,1.727194499076684,0.27970394759524736,2.0,0.035572741179224446
diving48,24,5,1.1201783789330595,0.5328493318118106,6.2,0.5173870142379511
diving48,25,5,1.5705334603609846,0.34503667521386205,3.6,0.5526418005815791
diving48,26,5,1.4827694702951013,0.381637101871971,5.4,0.19562821524826077
diving48,27,5,1.3696945402963696,0.42879301033947137,4.8,0.2756728738220866
diving48,28,5,1.6225202315126068,0.32335650771807584,5.4,0.2602718533368431
diving48,29,5,1.3845159264203928,0.4226120122399477,5.4,0.3131481987064558
diving48,31,5,1.6575757431422402,0.30873722387056934,6.4,0.36607270135271885
diving48,32,5,1.6223183110901995,0.32344071507470973,6.4,0.2636503627498702
diving48,33,5,1.8103570100779254,0.24502248675555433,1.0,0.3188271799290469
diving48,34,5,1.60508555472908,0.3306273326708187,7.8,0.41723873698970876
diving48,35,5,1.7620266230369226,0.26517782364172315,2.6,0.043979687265484194
diving48,36,5,1.9170294043644525,0.2005366430672939,5.8,0.40626627071308197
diving48,37,4,1.4904626608800635,0.3784287922046416,4.75,0.2492913417772202
diving48,38,2,1.3238722617702146,0.4479023847337416,4.0,0.17837345020754447
diving48,39,5,1.5206108736389887,0.36585601094062004,2.6,0.3013071697784559
diving48,40,2,1.7201121064076696,0.28265753474701194,7.0,0.19893673171545967
diving48,41,5,1.5842969410080685,0.3392968579652871,6.0,0.38082159332372617
diving48,42,3,1.5877794440577067,0.3378445413903542,3.6666666666666665,0.39325529491714584
diving48,43,5,1.4619968263587448,0.3902999672489541,5.0,0.2601706615963435
diving48,44,5,1.1060874079269838,0.5387257231479642,5.8,0.6083887016915673
diving48,45,5,0.8460640792235582,0.6471638737432464,5.8,0.25806045933683636
diving48,46,5,1.639584640055484,0.3162400966151993,4.6,0.3696433303235144
diving48,47,5,1.3451597669764765,0.439024805530118,6.0,0.3102074855412884
