label_id,n_models,ensemble_concentration,std_across_models
0,8,0.01572221049631719,0.011648095982443707
1,8,0.06916322554047954,0.04172118900506338
2,8,0.003757785065081998,0.0061435854962912624
3,8,0.03791068708046948,0.03880670630744706
4,8,0.06587560924824358,0.05866497763361498
5,8,0.03078998068044734,0.022394934753768945
6,8,0.054546012748616673,0.027697364246477958
7,8,0.05146212888300189,0.03719148841308796
8,8,0.0447531191942249,0.02188356112800229
9,8,0.017525971775603378,0.013600866301920053
10,8,0.08319360238063936,0.044577236838089555
11,8,0.09896011706126503,0.08178406037085145
12,8,0.13650056707975067,0.10069394093131626
13,8,0.04019703565695641,0.02357587942577295
14,8,0.07566452042528553,0.07158551736270626
15,8,0.0362297038758842,0.01950125056962107
16,8,0.05340070670762888,0.04420612619406386
17,8,0.05322039180568599,0.032679838507807944
18,8,0.0333265663300789,0.026761561867152443
19,8,0.08594291648201949,0.06270781075870445
20,8,0.041038740915496114,0.03479872427954951
21,8,0.07219614767111349,0.05005649087000758
22,8,0.0302776698862668,0.02774310574054854
23,8,0.0338228825924822,0.013708030870254037
24,8,0.033696409200605265,0.02076977628412055
25,8,0.016509069222749438,0.019450184728977343
26,8,0.011757049874870397,0.011913387062560177
27,8,0.08749352230087032,0.06861414192991334
28,8,0.027176768376934425,0.02405710056385126
29,8,0.007668774739276024,0.007272592987825411
30,8,0.06775080487690702,0.05620249686295609
31,8,0.017637136613822484,0.017526880867146943
32,8,0.14187796782540302,0.08473114051530112
33,8,0.020267836658844678,0.013004243103250643
34,8,0.07029098614233531,0.05638623397203183
35,8,0.04552064388267276,0.029003208825602436
36,8,0.0154074399767462,0.015307555314286507
37,8,0.08573517504235541,0.043031597426989296
38,8,0.009281197501856884,0.00882755780338248
39,8,0.012994552276125445,0.024380804809667454
40,8,0.06202537306757079,0.06290641393943032
41,8,0.08030201313403376,0.0901907938818181
42,8,0.1382299195828635,0.09752905544372391
43,8,0.010150462830295415,0.007185303074503428
44,8,0.059586150679083474,0.0485608072090914
45,8,0.0355922131498522,0.037368722979985114
46,8,0.060065341214419546,0.04233137742747558
47,8,0.046036967343662714,0.028126910226256754
48,8,0.042092858552881064,0.032257097623126604
49,8,0.0308371392365263,0.020580224524207495
50,8,0.06323865910960579,0.0419333400615266
