label_id,n_videos,mean_concentration,std_concentration
0,5,0.11024274337731213,0.047144008529147303
1,4,0.0708566876679218,0.0343089316934517
2,4,0.16680323570853228,0.08753448358944191
3,5,0.108079083095307,0.06380079483823646
4,5,0.0658091871479081,0.027374764828372034
5,5,0.060504728577267984,0.10826072735046505
6,5,0.008542960046242554,0.014118553368318127
7,5,0.036208221566709775,0.04253880818094545
8,5,0.19575354473494852,0.20640695371608428
9,5,0.12947097781772282,0.07037883350200111
10,5,0.03468577900302563,0.057608278183318234
11,5,0.09978047381354253,0.0615509119381535
13,5,0.1138267453853014,0.06092995444094667
14,5,0.11449859893718721,0.06059239987993344
15,4,0.03907237375425618,0.02277547086732905
16,5,0.1936827908442728,0.11770042903412349
17,5,0.16609956268510595,0.0765636670592763
18,5,0.10499366974187332,0.04768798447406447
19,5,0.00021558720762613338,0.0004216964705522975
20,1,0.28265562563013347,0.0
21,5,0.20521206418895038,0.11896641182587067
22,5,0.2631439482680761,0.1390240350293405
23,5,5.448118371476074e-05,6.780991395554865e-05
24,5,1.9775662953636085e-06,3.7740776790614785e-06
25,5,0.003888226755345947,0.007465591725748993
26,1,0.3279664601635556,0.0
27,5,0.0765286120916752,0.04567044742423073
28,5,0.15827261798360176,0.06407204401539184
29,5,0.15466953862572286,0.061235900483689154
30,5,0.18722718999877636,0.08947288334603297
31,5,2.8213476537297665e-05,4.833952483288438e-05
32,5,0.02778328361232336,0.0392218673335719
33,5,0.09500848653222718,0.09779341978766466
