total_frames,budget,stride,distinct,span_first,span_last,mean_gap,indices
400,16,1,16,0,399,26.6,0 27 53 80 106 133 160 186 213 239 266 293 319 346 372 399
400,16,2,16,0,398,26.53,0 26 54 80 106 132 160 186 212 238 266 292 318 344 372 398
400,16,4,16,0,396,26.4,0 28 52 80 104 132 160 184 212 236 264 292 316 344 368 396
400,16,8,16,0,392,26.13,0 24 56 80 104 128 160 184 208 232 264 288 312 336 368 392
400,16,16,16,0,384,25.6,0 32 48 80 96 128 160 176 208 224 256 288 304 336 352 384
60,16,1,16,0,59,3.93,0 4 8 12 16 20 24 28 31 35 39 43 47 51 55 59
60,16,2,16,0,58,3.87,0 4 8 12 16 20 24 28 30 34 38 42 46 50 54 58
60,16,4,15,0,56,3.73,0 4 8 12 16 20 24 28 32 36 40 44 48 52 56 56
60,16,8,8,0,56,3.73,0 8 16 24 32 40 48 56 56 56 56 56 56 56 56 56
60,16,16,4,0,48,3.2,0 16 32 48 48 48 48 48 48 48 48 48 48 48 48 48
