config,top1,n,mean_distinct,model,dataset,mode,budget
k16_box,0.6448619284744228,4418,15.997962879130828,r2plus1d_18,autsl,antialias,16
k16_point,0.7593933906745134,4418,15.997962879130828,r2plus1d_18,autsl,antialias,16
k1_box,0.0047532820280669985,4418,1.0,r2plus1d_18,autsl,antialias,16
k1_point,0.004979628791308284,4418,1.0,r2plus1d_18,autsl,antialias,16
k2_box,0.012222725215029425,4418,2.0,r2plus1d_18,autsl,antialias,16
k2_point,0.006790402897238569,4418,2.0,r2plus1d_18,autsl,antialias,16
k4_box,0.14622000905387053,4418,4.0,r2plus1d_18,autsl,antialias,16
k4_point,0.3340878225441376,4418,4.0,r2plus1d_18,autsl,antialias,16
k8_box,0.42394748755092804,4418,7.999773653236759,r2plus1d_18,autsl,antialias,16
k8_point,0.6416930737890448,4418,7.999773653236759,r2plus1d_18,autsl,antialias,16
