config,top1,n,mean_distinct,model,dataset,mode,budget
k16_box,0.2911764705882353,1020,15.980392156862745,r2plus1d_18,epic_kitchens,antialias,16
k16_point,0.35490196078431374,1020,15.980392156862745,r2plus1d_18,epic_kitchens,antialias,16
k1_box,0.050980392156862744,1020,1.0,r2plus1d_18,epic_kitchens,antialias,16
k1_point,0.08333333333333333,1020,1.0,r2plus1d_18,epic_kitchens,antialias,16
k2_box,0.06764705882352941,1020,2.0,r2plus1d_18,epic_kitchens,antialias,16
k2_point,0.1303921568627451,1020,2.0,r2plus1d_18,epic_kitchens,antialias,16
k4_box,0.10686274509803921,1020,4.0,r2plus1d_18,epic_kitchens,antialias,16
k4_point,0.2088235294117647,1020,4.0,r2plus1d_18,epic_kitchens,antialias,16
k8_box,0.1843137254901961,1020,8.0,r2plus1d_18,epic_kitchens,antialias,16
k8_point,0.2647058823529412,1020,8.0,r2plus1d_18,epic_kitchens,antialias,16
