video_id,label_id,source_frames,distinct_frames,model_input_frames,k,filt,config,correct_top1,confidence,model,dataset
vp15_run1_2018-05-30-13-05-35_10394_10415,0,21,1,16,1,point,k1_point,False,0.28005513548851013,r3d_18,driveact
vp14_run1_2018-05-30-10-11-09_6012_6033,0,21,1,16,1,point,k1_point,False,0.29293715953826904,r3d_18,driveact
vp14_run1_2018-05-30-10-11-09_5966_6012,0,47,1,16,1,point,k1_point,False,0.6674401164054871,r3d_18,driveact
vp14_run2_2018-05-30-10-42-33_3887_3915,0,29,1,16,1,point,k1_point,False,0.4442313015460968,r3d_18,driveact
vp14_run2_2018-05-30-10-42-33_3842_3887,0,45,1,16,1,point,k1_point,False,0.9197368621826172,r3d_18,driveact
vp15_run1_2018-05-30-13-05-35_10300_10347,0,46,1,16,1,point,k1_point,False,0.47284653782844543,r3d_18,driveact
vp15_run2_2018-05-30-13-34-33_5786_5802,0,17,1,16,1,point,k1_point,False,0.4976555407047272,r3d_18,driveact
vp14_run2_2018-05-30-10-42-33_16271_16309,0,38,1,16,1,point,k1_point,False,0.8605759739875793,r3d_18,driveact
vp15_run2_2018-05-30-13-34-33_6488_6516,0,29,1,16,1,point,k1_point,False,0.22904999554157257,r3d_18,driveact
vp15_run1_2018-05-30-13-05-35_10347_10394,0,47,1,16,1,point,k1_point,False,0.3345079720020294,r3d_18,driveact
vp14_run1_2018-05-30-10-11-09_12052_12093,0,40,1,16,1,point,k1_point,False,0.31523165106773376,r3d_18,driveact
vp14_run2_2018-05-30-10-42-33_20272_20317,0,44,1,16,1,point,k1_point,False,0.4589007794857025,r3d_18,driveact
vp15_run1_2018-05-30-13-05-35_5045_5090,0,45,1,16,1,point,k1_point,False,0.9889234900474548,r3d_18,driveact
vp14_run1_2018-05-30-10-11-09_104_124,1,20,1,16,1,point,k1_point,False,0.3437419831752777,r3d_18,driveact
vp15_run2_2018-05-30-13-34-33_169_183,1,13,1,16,1,point,k1_point,False,0.46839243173599243,r3d_18,driveact
vp15_run1_2018-05-30-13-05-35_144_160,1,17,1,16,1,point,k1_point,False,0.14852748811244965,r3d_18,driveact
vp14_run2_2018-05-30-10-42-33_114_128,1,14,1,16,1,point,k1_point,False,0.3255283832550049,r3d_18,driveact
