video_id,label_id,source_frames,distinct_frames,model_input_frames,k,filt,config,correct_top1,confidence,model,dataset
P26_107_7,0,154,1,16,1,point,k1_point,False,0.7547326683998108,r3d_18,epic_kitchens
P03_101_188,0,942,1,16,1,point,k1_point,False,0.7862427830696106,r3d_18,epic_kitchens
P04_113_291,0,27,1,16,1,point,k1_point,False,0.6335568428039551,r3d_18,epic_kitchens
P01_105_229,0,31,1,16,1,point,k1_point,False,0.5338749885559082,r3d_18,epic_kitchens
P22_103_180,0,64,1,16,1,point,k1_point,False,0.20186825096607208,r3d_18,epic_kitchens
P26_108_5,0,231,1,16,1,point,k1_point,False,0.3543987274169922,r3d_18,epic_kitchens
P35_108_238,0,51,1,16,1,point,k1_point,False,0.3469545245170593,r3d_18,epic_kitchens
P03_101_33,0,55,1,16,1,point,k1_point,False,0.1528678685426712,r3d_18,epic_kitchens
P35_104_290,0,51,1,16,1,point,k1_point,False,0.677681028842926,r3d_18,epic_kitchens
P30_111_263,0,30,1,16,1,point,k1_point,False,0.3459877371788025,r3d_18,epic_kitchens
P12_105_39,0,133,1,16,1,point,k1_point,False,0.272352933883667,r3d_18,epic_kitchens
P30_107_239,0,39,1,16,1,point,k1_point,False,0.35689935088157654,r3d_18,epic_kitchens
P35_107_238,0,63,1,16,1,point,k1_point,True,0.1949600726366043,r3d_18,epic_kitchens
P27_101_37,0,58,1,16,1,point,k1_point,False,0.32339969277381897,r3d_18,epic_kitchens
P22_109_45,0,45,1,16,1,point,k1_point,False,0.5967217087745667,r3d_18,epic_kitchens
P30_113_111,0,56,1,16,1,point,k1_point,False,0.5805251002311707,r3d_18,epic_kitchens
P35_104_576,0,62,1,16,1,point,k1_point,False,0.7302790284156799,r3d_18,epic_kitchens
P37_101_328,0,55,1,16,1,point,k1_point,False,0.5358394980430603,r3d_18,epic_kitchens
P12_104_0,0,87,1,16,1,point,k1_point,False,0.327854722738266,r3d_18,epic_kitchens
P01_109_124,0,33,1,16,1,point,k1_point,False,0.298861563205719,r3d_18,epic_kitchens
P03_107_18,1,110,1,16,1,point,k1_point,False,0.34142592549324036,r3d_18,epic_kitchens
P02_121_55,1,71,1,16,1,point,k1_point,False,0.2676936686038971,r3d_18,epic_kitchens
P04_107_120,1,76,1,16,1,point,k1_point,False,0.6826339364051819,r3d_18,epic_kitchens
P04_121_105,1,104,1,16,1,point,k1_point,False,0.42580175399780273,r3d_18,epic_kitchens
P22_109_693,1,109,1,16,1,point,k1_point,False,0.2810160219669342,r3d_18,epic_kitchens
P28_104_96,1,71,1,16,1,point,k1_point,False,0.1317431777715683,r3d_18,epic_kitchens
P26_117_49,1,56,1,16,1,point,k1_point,True,0.533065140247345,r3d_18,epic_kitchens
P25_107_493,1,54,1,16,1,point,k1_point,False,0.3755436837673187,r3d_18,epic_kitchens
P01_105_699,1,30,1,16,1,point,k1_point,True,0.5196253061294556,r3d_18,epic_kitchens
P04_119_175,1,47,1,16,1,point,k1_point,False,0.7718520164489746,r3d_18,epic_kitchens
P09_104_41,1,153,1,16,1,point,k1_point,False,0.2662005126476288,r3d_18,epic_kitchens
P03_101_15,1,252,1,16,1,point,k1_point,False,0.348022997379303,r3d_18,epic_kitchens
P35_109_281,1,150,1,16,1,point,k1_point,False,0.395654559135437,r3d_18,epic_kitchens
P22_106_17,1,70,1,16,1,point,k1_point,True,0.5802945494651794,r3d_18,epic_kitchens
P25_107_191,1,93,1,16,1,point,k1_point,True,0.5366594791412354,r3d_18,epic_kitchens
P25_106_83,1,43,1,16,1,point,k1_point,False,0.1680346131324768,r3d_18,epic_kitchens
P04_109_336,1,77,1,16,1,point,k1_point,False,0.9670663475990295,r3d_18,epic_kitchens
P22_117_314,1,29,1,16,1,point,k1_point,False,0.31060537695884705,r3d_18,epic_kitchens
P11_103_19,1,37,1,16,1,point,k1_point,False,0.39118269085884094,r3d_18,epic_kitchens
P03_120_171,1,54,1,16,1,point,k1_point,False,0.590143620967865,r3d_18,epic_kitchens
P12_101_476,2,63,1,16,1,point,k1_point,False,0.6899737119674683,r3d_18,epic_kitchens
P01_102_66,2,287,1,16,1,point,k1_point,False,0.31335723400115967,r3d_18,epic_kitchens
P03_109_221,2,29,1,16,1,point,k1_point,False,0.37748831510543823,r3d_18,epic_kitchens
P03_121_13,2,163,1,16,1,point,k1_point,False,0.4714130163192749,r3d_18,epic_kitchens
P22_116_128,2,364,1,16,1,point,k1_point,False,0.30903130769729614,r3d_18,epic_kitchens
P25_107_183,2,201,1,16,1,point,k1_point,False,0.19353291392326355,r3d_18,epic_kitchens
P22_116_184,2,112,1,16,1,point,k1_point,False,0.246571883559227,r3d_18,epic_kitchens
P25_106_32,2,70,1,16,1,point,k1_point,False,0.23002596199512482,r3d_18,epic_kitchens
P07_107_12,2,136,1,16,1,point,k1_point,False,0.33944711089134216,r3d_18,epic_kitchens
P25_104_41,2,240,1,16,1,point,k1_point,False,0.3368910551071167,r3d_18,epic_kitchens
P01_105_682,2,55,1,16,1,point,k1_point,False,0.4017186760902405,r3d_18,epic_kitchens
P35_108_483,2,472,1,16,1,point,k1_point,False,0.3029896020889282,r3d_18,epic_kitchens
P25_106_164,2,320,1,16,1,point,k1_point,False,0.5887905359268188,r3d_18,epic_kitchens
