config,top1,n,mean_distinct,model,dataset,mode,budget
k16_box,0.38775,8000,15.999875,r3d_18,kinetics400,antialias,16
k16_point,0.4595,8000,15.999875,r3d_18,kinetics400,antialias,16
k1_box,0.149125,8000,1.0,r3d_18,kinetics400,antialias,16
k1_point,0.32725,8000,1.0,r3d_18,kinetics400,antialias,16
k2_box,0.169625,8000,2.0,r3d_18,kinetics400,antialias,16
k2_point,0.397375,8000,2.0,r3d_18,kinetics400,antialias,16
k4_box,0.241,8000,4.0,r3d_18,kinetics400,antialias,16
k4_point,0.429875,8000,4.0,r3d_18,kinetics400,antialias,16
k8_box,0.333375,8000,8.0,r3d_18,kinetics400,antialias,16
k8_point,0.46525,8000,8.0,r3d_18,kinetics400,antialias,16
