video_id,label_id,source_frames,distinct_frames,model_input_frames,k,filt,config,correct_top1,confidence,model,dataset
P26_107_7,0,154,1,16,1,point,k1_point,False,0.26253342628479004,videomae,epic_kitchens
P03_101_188,0,942,1,16,1,point,k1_point,False,0.673386812210083,videomae,epic_kitchens
P04_113_291,0,27,1,16,1,point,k1_point,False,0.09323100745677948,videomae,epic_kitchens
P01_105_229,0,31,1,16,1,point,k1_point,False,0.8206788301467896,videomae,epic_kitchens
P22_103_180,0,64,1,16,1,point,k1_point,False,0.6824542880058289,videomae,epic_kitchens
P26_108_5,0,231,1,16,1,point,k1_point,False,0.44104447960853577,videomae,epic_kitchens
P35_108_238,0,51,1,16,1,point,k1_point,False,0.21327483654022217,videomae,epic_kitchens
P03_101_33,0,55,1,16,1,point,k1_point,False,0.27225762605667114,videomae,epic_kitchens
P35_104_290,0,51,1,16,1,point,k1_point,False,0.9085235595703125,videomae,epic_kitchens
P30_111_263,0,30,1,16,1,point,k1_point,True,0.8593048453330994,videomae,epic_kitchens
P12_105_39,0,133,1,16,1,point,k1_point,False,0.7770592570304871,videomae,epic_kitchens
P30_107_239,0,39,1,16,1,point,k1_point,True,0.6707434058189392,videomae,epic_kitchens
P35_107_238,0,63,1,16,1,point,k1_point,False,0.29607266187667847,videomae,epic_kitchens
P27_101_37,0,58,1,16,1,point,k1_point,False,0.5436335802078247,videomae,epic_kitchens
P22_109_45,0,45,1,16,1,point,k1_point,True,0.9003131985664368,videomae,epic_kitchens
P30_113_111,0,56,1,16,1,point,k1_point,True,0.4182851314544678,videomae,epic_kitchens
P35_104_576,0,62,1,16,1,point,k1_point,True,0.28591808676719666,videomae,epic_kitchens
P37_101_328,0,55,1,16,1,point,k1_point,True,0.31828394532203674,videomae,epic_kitchens
P12_104_0,0,87,1,16,1,point,k1_point,False,0.6167711615562439,videomae,epic_kitchens
P01_109_124,0,33,1,16,1,point,k1_point,True,0.5301051139831543,videomae,epic_kitchens
P03_107_18,1,110,1,16,1,point,k1_point,True,0.8346677422523499,videomae,epic_kitchens
P02_121_55,1,71,1,16,1,point,k1_point,False,0.6419959664344788,videomae,epic_kitchens
P04_107_120,1,76,1,16,1,point,k1_point,False,0.11614418774843216,videomae,epic_kitchens
P04_121_105,1,104,1,16,1,point,k1_point,False,0.17098216712474823,videomae,epic_kitchens
P22_109_693,1,109,1,16,1,point,k1_point,False,0.6376508474349976,videomae,epic_kitchens
P28_104_96,1,71,1,16,1,point,k1_point,False,0.23176546394824982,videomae,epic_kitchens
P26_117_49,1,56,1,16,1,point,k1_point,True,0.5697187781333923,videomae,epic_kitchens
P25_107_493,1,54,1,16,1,point,k1_point,True,0.849509060382843,videomae,epic_kitchens
P01_105_699,1,30,1,16,1,point,k1_point,False,0.6781868934631348,videomae,epic_kitchens
P04_119_175,1,47,1,16,1,point,k1_point,False,0.62315434217453,videomae,epic_kitchens
P09_104_41,1,153,1,16,1,point,k1_point,False,0.4106752276420593,videomae,epic_kitchens
P03_101_15,1,252,1,16,1,point,k1_point,False,0.08166507631540298,videomae,epic_kitchens
P35_109_281,1,150,1,16,1,point,k1_point,True,0.7268776297569275,videomae,epic_kitchens
P22_106_17,1,70,1,16,1,point,k1_point,True,0.4333288073539734,videomae,epic_kitchens
P25_107_191,1,93,1,16,1,point,k1_point,False,0.6721565127372742,videomae,epic_kitchens
P25_106_83,1,43,1,16,1,point,k1_point,False,0.6583154201507568,videomae,epic_kitchens
P04_109_336,1,77,1,16,1,point,k1_point,False,0.742710530757904,videomae,epic_kitchens
P22_117_314,1,29,1,16,1,point,k1_point,True,0.5424382090568542,videomae,epic_kitchens
P11_103_19,1,37,1,16,1,point,k1_point,False,0.5320436358451843,videomae,epic_kitchens
P03_120_171,1,54,1,16,1,point,k1_point,False,0.6878395676612854,videomae,epic_kitchens
P12_101_476,2,63,1,16,1,point,k1_point,True,0.5765101909637451,videomae,epic_kitchens
P01_102_66,2,287,1,16,1,point,k1_point,True,0.9896406531333923,videomae,epic_kitchens
P03_109_221,2,29,1,16,1,point,k1_point,False,0.3220917284488678,videomae,epic_kitchens
P03_121_13,2,163,1,16,1,point,k1_point,False,0.6507204174995422,videomae,epic_kitchens
P22_116_128,2,364,1,16,1,point,k1_point,True,0.9876564741134644,videomae,epic_kitchens
P25_107_183,2,201,1,16,1,point,k1_point,False,0.9289538860321045,videomae,epic_kitchens
P22_116_184,2,112,1,16,1,point,k1_point,False,0.2838314473628998,videomae,epic_kitchens
P25_106_32,2,70,1,16,1,point,k1_point,True,0.7788158059120178,videomae,epic_kitchens
P07_107_12,2,136,1,16,1,point,k1_point,False,0.22172459959983826,videomae,epic_kitchens
P25_104_41,2,240,1,16,1,point,k1_point,False,0.7875003218650818,videomae,epic_kitchens
P01_105_682,2,55,1,16,1,point,k1_point,True,0.4242621064186096,videomae,epic_kitchens
P35_108_483,2,472,1,16,1,point,k1_point,False,0.8854826092720032,videomae,epic_kitchens
P25_106_164,2,320,1,16,1,point,k1_point,True,0.6820430755615234,videomae,epic_kitchens
P03_119_184,2,50,1,16,1,point,k1_point,True,0.6691567301750183,videomae,epic_kitchens
P01_105_440,2,215,1,16,1,point,k1_point,False,0.23147784173488617,videomae,epic_kitchens
P27_103_649,2,236,1,16,1,point,k1_point,False,0.5115266442298889,videomae,epic_kitchens
P01_109_579,2,213,1,16,1,point,k1_point,True,0.670819103717804,videomae,epic_kitchens
P37_101_294,2,194,1,16,1,point,k1_point,False,0.4534132182598114,videomae,epic_kitchens
P35_108_245,2,225,1,16,1,point,k1_point,False,0.26920565962791443,videomae,epic_kitchens
P30_101_53,2,52,1,16,1,point,k1_point,True,0.7293915152549744,videomae,epic_kitchens
P28_109_13,3,71,1,16,1,point,k1_point,False,0.11870955675840378,videomae,epic_kitchens
P06_101_26,3,77,1,16,1,point,k1_point,False,0.5020967125892639,videomae,epic_kitchens
P22_106_20,3,46,1,16,1,point,k1_point,False,0.1528804749250412,videomae,epic_kitchens
P28_101_17,3,65,1,16,1,point,k1_point,False,0.16125701367855072,videomae,epic_kitchens
P22_111_93,3,44,1,16,1,point,k1_point,False,0.5427699685096741,videomae,epic_kitchens
