video_id,label_id,source_frames,distinct_frames,model_input_frames,k,filt,config,correct_top1,confidence,model,dataset
P26_107_7,0,154,1,32,1,point,k1_point,False,0.9983170032501221,vivit,epic_kitchens
P03_101_188,0,942,1,32,1,point,k1_point,False,0.442288875579834,vivit,epic_kitchens
P04_113_291,0,27,1,32,1,point,k1_point,False,0.464307576417923,vivit,epic_kitchens
P01_105_229,0,31,1,32,1,point,k1_point,False,0.9027359485626221,vivit,epic_kitchens
P22_103_180,0,64,1,32,1,point,k1_point,False,0.5351758003234863,vivit,epic_kitchens
P26_108_5,0,231,1,32,1,point,k1_point,False,0.9037307500839233,vivit,epic_kitchens
P35_108_238,0,51,1,32,1,point,k1_point,False,0.16059145331382751,vivit,epic_kitchens
P03_101_33,0,55,1,32,1,point,k1_point,False,0.9986477494239807,vivit,epic_kitchens
P35_104_290,0,51,1,32,1,point,k1_point,False,0.9725120663642883,vivit,epic_kitchens
P30_111_263,0,30,1,32,1,point,k1_point,True,0.7730928659439087,vivit,epic_kitchens
P12_105_39,0,133,1,32,1,point,k1_point,False,0.9927506446838379,vivit,epic_kitchens
P30_107_239,0,39,1,32,1,point,k1_point,False,0.9079579710960388,vivit,epic_kitchens
P35_107_238,0,63,1,32,1,point,k1_point,True,0.8854541182518005,vivit,epic_kitchens
P27_101_37,0,58,1,32,1,point,k1_point,False,0.9809978604316711,vivit,epic_kitchens
P22_109_45,0,45,1,32,1,point,k1_point,False,0.9940739274024963,vivit,epic_kitchens
P30_113_111,0,56,1,32,1,point,k1_point,False,0.7421011328697205,vivit,epic_kitchens
P35_104_576,0,62,1,32,1,point,k1_point,False,0.995219886302948,vivit,epic_kitchens
P37_101_328,0,55,1,32,1,point,k1_point,False,0.43630579113960266,vivit,epic_kitchens
P12_104_0,0,87,1,32,1,point,k1_point,False,0.6490426063537598,vivit,epic_kitchens
P01_109_124,0,33,1,32,1,point,k1_point,False,0.9982329607009888,vivit,epic_kitchens
P03_107_18,1,110,1,32,1,point,k1_point,True,0.5996185541152954,vivit,epic_kitchens
P02_121_55,1,71,1,32,1,point,k1_point,True,0.9955258965492249,vivit,epic_kitchens
P04_107_120,1,76,1,32,1,point,k1_point,True,0.4761652946472168,vivit,epic_kitchens
P04_121_105,1,104,1,32,1,point,k1_point,True,0.8280548453330994,vivit,epic_kitchens
P22_109_693,1,109,1,32,1,point,k1_point,False,0.7394179105758667,vivit,epic_kitchens
P28_104_96,1,71,1,32,1,point,k1_point,True,0.9984015822410583,vivit,epic_kitchens
P26_117_49,1,56,1,32,1,point,k1_point,True,0.9194271564483643,vivit,epic_kitchens
P25_107_493,1,54,1,32,1,point,k1_point,True,0.9701184034347534,vivit,epic_kitchens
P01_105_699,1,30,1,32,1,point,k1_point,True,0.9515568017959595,vivit,epic_kitchens
P04_119_175,1,47,1,32,1,point,k1_point,True,0.6988566517829895,vivit,epic_kitchens
P09_104_41,1,153,1,32,1,point,k1_point,True,0.8658682703971863,vivit,epic_kitchens
P03_101_15,1,252,1,32,1,point,k1_point,True,0.5410664677619934,vivit,epic_kitchens
P35_109_281,1,150,1,32,1,point,k1_point,True,0.6347662210464478,vivit,epic_kitchens
P22_106_17,1,70,1,32,1,point,k1_point,False,0.8488138318061829,vivit,epic_kitchens
