config,top1,n,mean_distinct,model,dataset,mode,budget
cov100_s1,0.555125,8000,15.999875,mc3_18,kinetics400,covstride,16
cov100_s16,0.558,8000,15.595125,mc3_18,kinetics400,covstride,16
cov100_s2,0.556625,8000,15.994625,mc3_18,kinetics400,covstride,16
cov100_s4,0.55425,8000,15.97775,mc3_18,kinetics400,covstride,16
cov100_s8,0.556,8000,15.928375,mc3_18,kinetics400,covstride,16
cov10_s1,0.4855,8000,15.886375,mc3_18,kinetics400,covstride,16
cov10_s16,0.3675,8000,1.971625,mc3_18,kinetics400,covstride,16
cov10_s2,0.48275,8000,14.414875,mc3_18,kinetics400,covstride,16
cov10_s4,0.45975,8000,7.674875,mc3_18,kinetics400,covstride,16
cov10_s8,0.422875,8000,3.87275,mc3_18,kinetics400,covstride,16
cov25_s1,0.52975,8000,15.975875,mc3_18,kinetics400,covstride,16
cov25_s16,0.46775,8000,4.829625,mc3_18,kinetics400,covstride,16
cov25_s2,0.529375,8000,15.925375,mc3_18,kinetics400,covstride,16
cov25_s4,0.525,8000,15.582625,mc3_18,kinetics400,covstride,16
cov25_s8,0.50375,8000,9.589625,mc3_18,kinetics400,covstride,16
cov50_s1,0.559875,8000,15.994125,mc3_18,kinetics400,covstride,16
cov50_s16,0.544125,8000,9.593875,mc3_18,kinetics400,covstride,16
cov50_s2,0.56025,8000,15.976125,mc3_18,kinetics400,covstride,16
cov50_s4,0.55925,8000,15.926625,mc3_18,kinetics400,covstride,16
cov50_s8,0.55825,8000,15.58875,mc3_18,kinetics400,covstride,16
cov75_s1,0.564375,8000,15.998625,mc3_18,kinetics400,covstride,16
cov75_s16,0.559875,8000,14.313125,mc3_18,kinetics400,covstride,16
cov75_s2,0.561875,8000,15.989125,mc3_18,kinetics400,covstride,16
cov75_s4,0.562125,8000,15.96375,mc3_18,kinetics400,covstride,16
cov75_s8,0.560625,8000,15.878125,mc3_18,kinetics400,covstride,16
