config,top1,n,mean_distinct,model,dataset,mode,budget
cov100_s1,0.8539603960396039,2020,16.0,mc3_18,ucf101,covstride,16
cov100_s16,0.8311881188118811,2020,10.8,mc3_18,ucf101,covstride,16
cov100_s2,0.852970297029703,2020,16.0,mc3_18,ucf101,covstride,16
cov100_s4,0.852970297029703,2020,15.949009900990099,mc3_18,ucf101,covstride,16
cov100_s8,0.8495049504950495,2020,14.716336633663367,mc3_18,ucf101,covstride,16
cov10_s1,0.7574257425742574,2020,13.476732673267326,mc3_18,ucf101,covstride,16
cov10_s16,0.649009900990099,2020,1.5603960396039604,mc3_18,ucf101,covstride,16
cov10_s2,0.750990099009901,2020,8.921782178217821,mc3_18,ucf101,covstride,16
cov10_s4,0.7277227722772277,2020,4.896534653465347,mc3_18,ucf101,covstride,16
cov10_s8,0.6935643564356435,2020,2.7163366336633663,mc3_18,ucf101,covstride,16
cov25_s1,0.804950495049505,2020,15.938118811881187,mc3_18,ucf101,covstride,16
cov25_s16,0.7123762376237623,2020,3.263366336633663,mc3_18,ucf101,covstride,16
cov25_s2,0.8064356435643565,2020,14.634653465346535,mc3_18,ucf101,covstride,16
cov25_s4,0.7975247524752476,2020,10.70990099009901,mc3_18,ucf101,covstride,16
cov25_s8,0.7673267326732673,2020,6.037623762376238,mc3_18,ucf101,covstride,16
cov50_s1,0.8366336633663366,2020,16.0,mc3_18,ucf101,covstride,16
cov50_s16,0.7811881188118812,2020,6.070792079207921,mc3_18,ucf101,covstride,16
cov50_s2,0.8361386138613861,2020,15.941584158415841,mc3_18,ucf101,covstride,16
cov50_s4,0.8316831683168316,2020,14.675742574257425,mc3_18,ucf101,covstride,16
cov50_s8,0.8193069306930693,2020,10.761386138613862,mc3_18,ucf101,covstride,16
cov75_s1,0.851980198019802,2020,16.0,mc3_18,ucf101,covstride,16
cov75_s16,0.8212871287128712,2020,8.648514851485148,mc3_18,ucf101,covstride,16
cov75_s2,0.8534653465346534,2020,15.995049504950495,mc3_18,ucf101,covstride,16
cov75_s4,0.852970297029703,2020,15.725742574257426,mc3_18,ucf101,covstride,16
cov75_s8,0.8396039603960396,2020,13.337623762376237,mc3_18,ucf101,covstride,16
