config,top1,n,mean_distinct,model,dataset,mode,budget
cov100_s1,0.539375,8000,15.999875,r2plus1d_18,kinetics400,covstride,16
cov100_s16,0.546375,8000,15.595125,r2plus1d_18,kinetics400,covstride,16
cov100_s2,0.5425,8000,15.994625,r2plus1d_18,kinetics400,covstride,16
cov100_s4,0.544625,8000,15.97775,r2plus1d_18,kinetics400,covstride,16
cov100_s8,0.54475,8000,15.928375,r2plus1d_18,kinetics400,covstride,16
cov10_s1,0.524375,8000,15.886375,r2plus1d_18,kinetics400,covstride,16
cov10_s16,0.39975,8000,1.971625,r2plus1d_18,kinetics400,covstride,16
cov10_s2,0.523375,8000,14.414875,r2plus1d_18,kinetics400,covstride,16
cov10_s4,0.500125,8000,7.674875,r2plus1d_18,kinetics400,covstride,16
cov10_s8,0.454875,8000,3.87275,r2plus1d_18,kinetics400,covstride,16
cov25_s1,0.5565,8000,15.975875,r2plus1d_18,kinetics400,covstride,16
cov25_s16,0.48675,8000,4.829625,r2plus1d_18,kinetics400,covstride,16
cov25_s2,0.55825,8000,15.925375,r2plus1d_18,kinetics400,covstride,16
cov25_s4,0.557375,8000,15.582625,r2plus1d_18,kinetics400,covstride,16
cov25_s8,0.53175,8000,9.589625,r2plus1d_18,kinetics400,covstride,16
cov50_s1,0.572125,8000,15.994125,r2plus1d_18,kinetics400,covstride,16
cov50_s16,0.55325,8000,9.593875,r2plus1d_18,kinetics400,covstride,16
cov50_s2,0.5725,8000,15.976125,r2plus1d_18,kinetics400,covstride,16
cov50_s4,0.576875,8000,15.926625,r2plus1d_18,kinetics400,covstride,16
cov50_s8,0.5755,8000,15.58875,r2plus1d_18,kinetics400,covstride,16
cov75_s1,0.55825,8000,15.998625,r2plus1d_18,kinetics400,covstride,16
cov75_s16,0.55275,8000,14.313125,r2plus1d_18,kinetics400,covstride,16
cov75_s2,0.56075,8000,15.989125,r2plus1d_18,kinetics400,covstride,16
cov75_s4,0.5585,8000,15.96375,r2plus1d_18,kinetics400,covstride,16
cov75_s8,0.563875,8000,15.878125,r2plus1d_18,kinetics400,covstride,16
