config,top1,n,mean_distinct,model,dataset,mode,budget
cov100_s1,0.6875,448,15.491071428571429,r3d_18,driveact,covstride,16
cov100_s16,0.47767857142857145,448,2.6138392857142856,r3d_18,driveact,covstride,16
cov100_s2,0.6785714285714286,448,14.270089285714286,r3d_18,driveact,covstride,16
cov100_s4,0.6674107142857143,448,9.763392857142858,r3d_18,driveact,covstride,16
cov100_s8,0.6116071428571429,448,5.058035714285714,r3d_18,driveact,covstride,16
cov10_s1,0.40625,448,3.669642857142857,r3d_18,driveact,covstride,16
cov10_s16,0.3549107142857143,448,1.0,r3d_18,driveact,covstride,16
cov10_s2,0.375,448,2.0625,r3d_18,driveact,covstride,16
cov10_s4,0.3638392857142857,448,1.2745535714285714,r3d_18,driveact,covstride,16
cov10_s8,0.3549107142857143,448,1.0,r3d_18,driveact,covstride,16
cov25_s1,0.49330357142857145,448,9.401785714285714,r3d_18,driveact,covstride,16
cov25_s16,0.3549107142857143,448,1.0,r3d_18,driveact,covstride,16
cov25_s2,0.4888392857142857,448,4.948660714285714,r3d_18,driveact,covstride,16
cov25_s4,0.4263392857142857,448,2.5691964285714284,r3d_18,driveact,covstride,16
cov25_s8,0.40625,448,1.7098214285714286,r3d_18,driveact,covstride,16
cov50_s1,0.59375,448,14.189732142857142,r3d_18,driveact,covstride,16
cov50_s16,0.40401785714285715,448,1.7120535714285714,r3d_18,driveact,covstride,16
cov50_s2,0.5870535714285714,448,9.439732142857142,r3d_18,driveact,covstride,16
cov50_s4,0.5535714285714286,448,4.986607142857143,r3d_18,driveact,covstride,16
cov50_s8,0.44642857142857145,448,2.578125,r3d_18,driveact,covstride,16
cov75_s1,0.6607142857142857,448,15.0625,r3d_18,driveact,covstride,16
cov75_s16,0.4575892857142857,448,2.4464285714285716,r3d_18,driveact,covstride,16
cov75_s2,0.65625,448,13.453125,r3d_18,driveact,covstride,16
cov75_s4,0.6272321428571429,448,7.444196428571429,r3d_18,driveact,covstride,16
cov75_s8,0.5602678571428571,448,4.107142857142857,r3d_18,driveact,covstride,16
