config,top1,n,mean_distinct,model,dataset,mode,budget
cov100_s1,0.7977401129943503,885,8.0,timesformer,hmdb51,covstride,8
cov100_s16,0.7661016949152543,885,5.418079096045198,timesformer,hmdb51,covstride,8
cov100_s2,0.7954802259887006,885,8.0,timesformer,hmdb51,covstride,8
cov100_s4,0.784180790960452,885,7.986440677966102,timesformer,hmdb51,covstride,8
cov100_s8,0.7898305084745763,885,7.5005649717514125,timesformer,hmdb51,covstride,8
cov10_s1,0.5333333333333333,885,6.968361581920904,timesformer,hmdb51,covstride,8
cov10_s16,0.4180790960451977,885,1.1288135593220339,timesformer,hmdb51,covstride,8
cov10_s2,0.5186440677966102,885,4.4429378531073445,timesformer,hmdb51,covstride,8
cov10_s4,0.4994350282485876,885,2.6361581920903956,timesformer,hmdb51,covstride,8
cov10_s8,0.4440677966101695,885,1.5220338983050847,timesformer,hmdb51,covstride,8
cov25_s1,0.6497175141242938,885,7.983050847457627,timesformer,hmdb51,covstride,8
cov25_s16,0.5288135593220339,885,2.004519774011299,timesformer,hmdb51,covstride,8
cov25_s2,0.6372881355932203,885,7.416949152542373,timesformer,hmdb51,covstride,8
cov25_s4,0.6169491525423729,885,5.299435028248587,timesformer,hmdb51,covstride,8
cov25_s8,0.5887005649717514,885,3.328813559322034,timesformer,hmdb51,covstride,8
cov50_s1,0.752542372881356,885,8.0,timesformer,hmdb51,covstride,8
cov50_s16,0.6689265536723163,885,3.3536723163841806,timesformer,hmdb51,covstride,8
cov50_s2,0.7457627118644068,885,7.983050847457627,timesformer,hmdb51,covstride,8
cov50_s4,0.7446327683615819,885,7.453107344632769,timesformer,hmdb51,covstride,8
cov50_s8,0.7129943502824859,885,5.346892655367232,timesformer,hmdb51,covstride,8
cov75_s1,0.792090395480226,885,8.0,timesformer,hmdb51,covstride,8
cov75_s16,0.7344632768361582,885,4.437288135593221,timesformer,hmdb51,covstride,8
cov75_s2,0.7830508474576271,885,8.0,timesformer,hmdb51,covstride,8
cov75_s4,0.7807909604519774,885,7.915254237288136,timesformer,hmdb51,covstride,8
cov75_s8,0.7762711864406779,885,7.00225988700565,timesformer,hmdb51,covstride,8
