config,top1,n,mean_distinct,model,dataset,mode,budget
cov100_s1,0.384180790960452,177,8.0,timesformer,ssv2,covstride,8
cov100_s16,0.23728813559322035,177,3.005649717514124,timesformer,ssv2,covstride,8
cov100_s2,0.4011299435028249,177,7.954802259887006,timesformer,ssv2,covstride,8
cov100_s4,0.3446327683615819,177,6.887005649717514,timesformer,ssv2,covstride,8
cov100_s8,0.2768361581920904,177,5.288135593220339,timesformer,ssv2,covstride,8
cov10_s1,0.05649717514124294,177,4.028248587570621,timesformer,ssv2,covstride,8
cov10_s16,0.05084745762711865,177,1.0,timesformer,ssv2,covstride,8
cov10_s2,0.06779661016949153,177,2.1977401129943503,timesformer,ssv2,covstride,8
cov10_s4,0.05649717514124294,177,1.4406779661016949,timesformer,ssv2,covstride,8
cov10_s8,0.05084745762711865,177,1.0,timesformer,ssv2,covstride,8
cov25_s1,0.12994350282485875,177,6.745762711864407,timesformer,ssv2,covstride,8
cov25_s16,0.062146892655367235,177,1.073446327683616,timesformer,ssv2,covstride,8
cov25_s2,0.12429378531073447,177,5.033898305084746,timesformer,ssv2,covstride,8
cov25_s4,0.0847457627118644,177,2.790960451977401,timesformer,ssv2,covstride,8
cov25_s8,0.06779661016949153,177,1.6723163841807909,timesformer,ssv2,covstride,8
cov50_s1,0.3163841807909605,177,7.954802259887006,timesformer,ssv2,covstride,8
cov50_s16,0.1016949152542373,177,1.694915254237288,timesformer,ssv2,covstride,8
cov50_s2,0.24858757062146894,177,6.824858757062147,timesformer,ssv2,covstride,8
cov50_s4,0.22033898305084745,177,5.186440677966102,timesformer,ssv2,covstride,8
cov50_s8,0.1864406779661017,177,2.9152542372881354,timesformer,ssv2,covstride,8
cov75_s1,0.384180790960452,177,8.0,timesformer,ssv2,covstride,8
cov75_s16,0.1807909604519774,177,2.225988700564972,timesformer,ssv2,covstride,8
cov75_s2,0.3615819209039548,177,7.6158192090395485,timesformer,ssv2,covstride,8
cov75_s4,0.3446327683615819,177,6.338983050847458,timesformer,ssv2,covstride,8
cov75_s8,0.2768361581920904,177,4.096045197740113,timesformer,ssv2,covstride,8
