video_id,label_id,source_frames,distinct_frames,model_input_frames,coverage,stride,config,correct_top1,confidence,model,dataset
P26_107_7,0,154,15,32,10,1,cov10_s1,False,0.6101406812667847,vivit,epic_kitchens
P03_101_188,0,942,32,32,10,1,cov10_s1,False,0.5291475653648376,vivit,epic_kitchens
P04_113_291,0,27,3,32,10,1,cov10_s1,False,0.2548099458217621,vivit,epic_kitchens
P01_105_229,0,31,3,32,10,1,cov10_s1,False,0.5084249973297119,vivit,epic_kitchens
P22_103_180,0,64,6,32,10,1,cov10_s1,False,0.73494553565979,vivit,epic_kitchens
P26_108_5,0,231,23,32,10,1,cov10_s1,False,0.9971953630447388,vivit,epic_kitchens
P35_108_238,0,51,5,32,10,1,cov10_s1,False,0.9774437546730042,vivit,epic_kitchens
P03_101_33,0,55,6,32,10,1,cov10_s1,False,0.850662350654602,vivit,epic_kitchens
P35_104_290,0,51,5,32,10,1,cov10_s1,False,0.9928083419799805,vivit,epic_kitchens
P30_111_263,0,30,3,32,10,1,cov10_s1,True,0.45965448021888733,vivit,epic_kitchens
P12_105_39,0,133,13,32,10,1,cov10_s1,False,0.7515153884887695,vivit,epic_kitchens
P30_107_239,0,39,4,32,10,1,cov10_s1,False,0.07486298680305481,vivit,epic_kitchens
P35_107_238,0,63,6,32,10,1,cov10_s1,True,0.963089644908905,vivit,epic_kitchens
P27_101_37,0,58,6,32,10,1,cov10_s1,False,0.6346265077590942,vivit,epic_kitchens
P22_109_45,0,45,4,32,10,1,cov10_s1,False,0.9865265488624573,vivit,epic_kitchens
P30_113_111,0,56,6,32,10,1,cov10_s1,False,0.6562612056732178,vivit,epic_kitchens
P35_104_576,0,62,6,32,10,1,cov10_s1,False,0.6679694652557373,vivit,epic_kitchens
P37_101_328,0,55,6,32,10,1,cov10_s1,False,0.9667086005210876,vivit,epic_kitchens
P12_104_0,0,87,9,32,10,1,cov10_s1,False,0.3894236087799072,vivit,epic_kitchens
P01_109_124,0,33,3,32,10,1,cov10_s1,False,0.9967124462127686,vivit,epic_kitchens
P03_107_18,1,110,11,32,10,1,cov10_s1,False,0.5482736229896545,vivit,epic_kitchens
P02_121_55,1,71,7,32,10,1,cov10_s1,True,0.9594818949699402,vivit,epic_kitchens
P04_107_120,1,76,8,32,10,1,cov10_s1,True,0.6326168179512024,vivit,epic_kitchens
P04_121_105,1,104,10,32,10,1,cov10_s1,True,0.987672746181488,vivit,epic_kitchens
P22_109_693,1,109,11,32,10,1,cov10_s1,True,0.9834190607070923,vivit,epic_kitchens
P28_104_96,1,71,7,32,10,1,cov10_s1,True,0.9915677905082703,vivit,epic_kitchens
P26_117_49,1,56,6,32,10,1,cov10_s1,True,0.8970375657081604,vivit,epic_kitchens
P25_107_493,1,54,5,32,10,1,cov10_s1,True,0.9703894257545471,vivit,epic_kitchens
P01_105_699,1,30,3,32,10,1,cov10_s1,True,0.9508805274963379,vivit,epic_kitchens
P04_119_175,1,47,5,32,10,1,cov10_s1,True,0.7886819243431091,vivit,epic_kitchens
P09_104_41,1,153,15,32,10,1,cov10_s1,True,0.7667428851127625,vivit,epic_kitchens
P03_101_15,1,252,25,32,10,1,cov10_s1,False,0.991614818572998,vivit,epic_kitchens
P35_109_281,1,150,15,32,10,1,cov10_s1,True,0.9903970956802368,vivit,epic_kitchens
P22_106_17,1,70,7,32,10,1,cov10_s1,False,0.9072198867797852,vivit,epic_kitchens
P25_107_191,1,93,9,32,10,1,cov10_s1,True,0.9982210993766785,vivit,epic_kitchens
P25_106_83,1,43,4,32,10,1,cov10_s1,True,0.6187997460365295,vivit,epic_kitchens
P04_109_336,1,77,8,32,10,1,cov10_s1,False,0.147478386759758,vivit,epic_kitchens
P22_117_314,1,29,3,32,10,1,cov10_s1,True,0.8397394418716431,vivit,epic_kitchens
P11_103_19,1,37,4,32,10,1,cov10_s1,False,0.38419896364212036,vivit,epic_kitchens
P03_120_171,1,54,5,32,10,1,cov10_s1,False,0.8087068796157837,vivit,epic_kitchens
P12_101_476,2,63,6,32,10,1,cov10_s1,False,0.4220307767391205,vivit,epic_kitchens
P01_102_66,2,287,29,32,10,1,cov10_s1,True,0.8185693621635437,vivit,epic_kitchens
P03_109_221,2,29,3,32,10,1,cov10_s1,False,0.9229632616043091,vivit,epic_kitchens
P03_121_13,2,163,16,32,10,1,cov10_s1,False,0.989852249622345,vivit,epic_kitchens
P22_116_128,2,364,32,32,10,1,cov10_s1,False,0.6950443387031555,vivit,epic_kitchens
P25_107_183,2,201,20,32,10,1,cov10_s1,False,0.42666882276535034,vivit,epic_kitchens
P22_116_184,2,112,11,32,10,1,cov10_s1,False,0.9802470207214355,vivit,epic_kitchens
P25_106_32,2,70,7,32,10,1,cov10_s1,False,0.3301094174385071,vivit,epic_kitchens
P07_107_12,2,136,14,32,10,1,cov10_s1,False,0.509826123714447,vivit,epic_kitchens
P25_104_41,2,240,24,32,10,1,cov10_s1,True,0.9303441643714905,vivit,epic_kitchens
P01_105_682,2,55,6,32,10,1,cov10_s1,False,0.6483052968978882,vivit,epic_kitchens
P35_108_483,2,472,32,32,10,1,cov10_s1,False,0.5540363788604736,vivit,epic_kitchens
P25_106_164,2,320,32,32,10,1,cov10_s1,True,0.463862806558609,vivit,epic_kitchens
P03_119_184,2,50,5,32,10,1,cov10_s1,False,0.9888817667961121,vivit,epic_kitchens
P01_105_440,2,215,22,32,10,1,cov10_s1,False,0.8795558214187622,vivit,epic_kitchens
P27_103_649,2,236,24,32,10,1,cov10_s1,False,0.9318872094154358,vivit,epic_kitchens
P01_109_579,2,213,21,32,10,1,cov10_s1,False,0.5890982151031494,vivit,epic_kitchens
P37_101_294,2,194,19,32,10,1,cov10_s1,False,0.43886974453926086,vivit,epic_kitchens
P35_108_245,2,225,22,32,10,1,cov10_s1,True,0.9044137001037598,vivit,epic_kitchens
P30_101_53,2,52,5,32,10,1,cov10_s1,False,0.764680802822113,vivit,epic_kitchens
P28_109_13,3,71,7,32,10,1,cov10_s1,True,0.9206514954566956,vivit,epic_kitchens
P06_101_26,3,77,8,32,10,1,cov10_s1,False,0.7843015193939209,vivit,epic_kitchens
P22_106_20,3,46,5,32,10,1,cov10_s1,False,0.9972689747810364,vivit,epic_kitchens
P28_101_17,3,65,6,32,10,1,cov10_s1,False,0.5931143760681152,vivit,epic_kitchens
P22_111_93,3,44,4,32,10,1,cov10_s1,False,0.988750159740448,vivit,epic_kitchens
P06_113_31,3,52,5,32,10,1,cov10_s1,False,0.7357887029647827,vivit,epic_kitchens
P26_104_116,3,51,5,32,10,1,cov10_s1,False,0.5169802308082581,vivit,epic_kitchens
P22_117_400,3,136,14,32,10,1,cov10_s1,False,0.6596823334693909,vivit,epic_kitchens
P01_105_179,3,34,3,32,10,1,cov10_s1,False,0.3570428192615509,vivit,epic_kitchens
P30_109_163,3,105,10,32,10,1,cov10_s1,False,0.9807527661323547,vivit,epic_kitchens
P06_104_30,3,47,5,32,10,1,cov10_s1,False,0.2709665298461914,vivit,epic_kitchens
P02_129_456,3,59,6,32,10,1,cov10_s1,False,0.35496512055397034,vivit,epic_kitchens
P30_107_110,3,25,2,32,10,1,cov10_s1,False,0.4078442454338074,vivit,epic_kitchens
P11_101_17,3,222,22,32,10,1,cov10_s1,False,0.9962510466575623,vivit,epic_kitchens
P02_120_27,3,72,7,32,10,1,cov10_s1,False,0.7237213253974915,vivit,epic_kitchens
P22_103_12,3,30,3,32,10,1,cov10_s1,False,0.28970757126808167,vivit,epic_kitchens
P02_103_18,3,189,19,32,10,1,cov10_s1,False,0.8829861879348755,vivit,epic_kitchens
P35_101_51,3,51,5,32,10,1,cov10_s1,False,0.9899563789367676,vivit,epic_kitchens
P04_108_80,3,97,10,32,10,1,cov10_s1,True,0.7827274203300476,vivit,epic_kitchens
P04_119_138,3,41,4,32,10,1,cov10_s1,False,0.5892006158828735,vivit,epic_kitchens
P22_110_20,4,34,3,32,10,1,cov10_s1,False,0.3789557218551636,vivit,epic_kitchens
P30_104_71,4,47,5,32,10,1,cov10_s1,False,0.8516274690628052,vivit,epic_kitchens
P04_102_29,4,37,4,32,10,1,cov10_s1,False,0.31052863597869873,vivit,epic_kitchens
P01_109_208,4,39,4,32,10,1,cov10_s1,False,0.7277853488922119,vivit,epic_kitchens
P25_106_141,4,30,3,32,10,1,cov10_s1,False,0.44626763463020325,vivit,epic_kitchens
