video_id,label_id,source_frames,distinct_frames,model_input_frames,k,config,correct_top1,confidence,model,dataset
vp15_run1_2018-05-30-13-05-35_10394_10415,0,21,1,16,1,k1,False,0.46821993589401245,videomae,driveact
vp14_run1_2018-05-30-10-11-09_6012_6033,0,21,1,16,1,k1,False,0.31174784898757935,videomae,driveact
vp14_run1_2018-05-30-10-11-09_5966_6012,0,47,1,16,1,k1,False,0.33650708198547363,videomae,driveact
vp14_run2_2018-05-30-10-42-33_3887_3915,0,29,1,16,1,k1,False,0.765272319316864,videomae,driveact
vp14_run2_2018-05-30-10-42-33_3842_3887,0,45,1,16,1,k1,False,0.4573984444141388,videomae,driveact
vp15_run1_2018-05-30-13-05-35_10300_10347,0,46,1,16,1,k1,False,0.6254624724388123,videomae,driveact
vp15_run2_2018-05-30-13-34-33_5786_5802,0,17,1,16,1,k1,False,0.2579488456249237,videomae,driveact
vp14_run2_2018-05-30-10-42-33_16271_16309,0,38,1,16,1,k1,False,0.3598070740699768,videomae,driveact
vp15_run2_2018-05-30-13-34-33_6488_6516,0,29,1,16,1,k1,False,0.3682207465171814,videomae,driveact
vp15_run1_2018-05-30-13-05-35_10347_10394,0,47,1,16,1,k1,False,0.3742503523826599,videomae,driveact
vp14_run1_2018-05-30-10-11-09_12052_12093,0,40,1,16,1,k1,False,0.25201350450515747,videomae,driveact
vp14_run2_2018-05-30-10-42-33_20272_20317,0,44,1,16,1,k1,False,0.6954583525657654,videomae,driveact
vp15_run1_2018-05-30-13-05-35_5045_5090,0,45,1,16,1,k1,False,0.33627793192863464,videomae,driveact
vp14_run1_2018-05-30-10-11-09_104_124,1,20,1,16,1,k1,False,0.6349930167198181,videomae,driveact
vp15_run2_2018-05-30-13-34-33_169_183,1,13,1,16,1,k1,False,0.20152230560779572,videomae,driveact
vp15_run1_2018-05-30-13-05-35_144_160,1,17,1,16,1,k1,False,0.3769424259662628,videomae,driveact
vp14_run2_2018-05-30-10-42-33_114_128,1,14,1,16,1,k1,False,0.6030270457267761,videomae,driveact
vp14_run1_2018-05-30-10-11-09_24557_24581,2,24,1,16,1,k1,False,0.41128456592559814,videomae,driveact
vp15_run1_2018-05-30-13-05-35_18818_18841,2,23,1,16,1,k1,False,0.6135077476501465,videomae,driveact
vp15_run2_2018-05-30-13-34-33_19707_19726,2,20,1,16,1,k1,False,0.2626640498638153,videomae,driveact
vp14_run2_2018-05-30-10-42-33_22339_22349,2,10,1,16,1,k1,True,0.3014102876186371,videomae,driveact
vp14_run1_2018-05-30-10-11-09_23166_23211,3,45,1,16,1,k1,False,0.2730000913143158,videomae,driveact
vp14_run2_2018-05-30-10-42-33_13691_13733,3,42,1,16,1,k1,False,0.6523056030273438,videomae,driveact
vp15_run1_2018-05-30-13-05-35_6441_6476,3,35,1,16,1,k1,False,0.8112142086029053,videomae,driveact
vp14_run1_2018-05-30-10-11-09_23211_23244,3,33,1,16,1,k1,False,0.727492094039917,videomae,driveact
vp14_run1_2018-05-30-10-11-09_23119_23166,3,46,1,16,1,k1,False,0.29054367542266846,videomae,driveact
vp15_run1_2018-05-30-13-05-35_6768_6800,3,32,1,16,1,k1,False,0.5532243847846985,videomae,driveact
vp15_run2_2018-05-30-13-34-33_7678_7702,3,23,1,16,1,k1,False,0.901856541633606,videomae,driveact
vp14_run2_2018-05-30-10-42-33_20205_20251,4,47,1,16,1,k1,False,0.8482256531715393,videomae,driveact
vp14_run2_2018-05-30-10-42-33_20115_20160,4,45,1,16,1,k1,True,0.4552658796310425,videomae,driveact
vp14_run2_2018-05-30-10-42-33_3770_3816,4,47,1,16,1,k1,False,0.37550485134124756,videomae,driveact
vp14_run2_2018-05-30-10-42-33_16194_16240,4,47,1,16,1,k1,False,0.6277823448181152,videomae,driveact
vp15_run2_2018-05-30-13-34-33_6443_6488,4,45,1,16,1,k1,True,0.6331125497817993,videomae,driveact
vp14_run1_2018-05-30-10-11-09_5918_5963,4,45,1,16,1,k1,False,0.9774854183197021,videomae,driveact
vp15_run1_2018-05-30-13-05-35_4994_5040,4,47,1,16,1,k1,False,0.5625472664833069,videomae,driveact
vp15_run1_2018-05-30-13-05-35_10269_10300,4,32,1,16,1,k1,False,0.9876262545585632,videomae,driveact
vp15_run1_2018-05-30-13-05-35_4554_4563,4,9,1,16,1,k1,False,0.4099300801753998,videomae,driveact
vp14_run2_2018-05-30-10-42-33_3816_3842,4,26,1,16,1,k1,False,0.9292612671852112,videomae,driveact
vp15_run1_2018-05-30-13-05-35_10223_10269,4,47,1,16,1,k1,False,0.9501261711120605,videomae,driveact
vp15_run2_2018-05-30-13-34-33_5728_5773,4,44,1,16,1,k1,False,0.28990134596824646,videomae,driveact
vp14_run1_2018-05-30-10-11-09_5873_5918,4,45,1,16,1,k1,False,0.2730550467967987,videomae,driveact
vp14_run2_2018-05-30-10-42-33_20160_20205,4,45,1,16,1,k1,False,0.7460874319076538,videomae,driveact
vp14_run1_2018-05-30-10-11-09_12044_12052,4,8,1,16,1,k1,True,0.6818614602088928,videomae,driveact
vp15_run2_2018-05-30-13-34-33_5773_5786,4,13,1,16,1,k1,False,0.48036855459213257,videomae,driveact
vp14_run2_2018-05-30-10-42-33_16240_16271,4,31,1,16,1,k1,False,0.8737117648124695,videomae,driveact
vp14_run2_2018-05-30-10-42-33_20251_20272,4,20,1,16,1,k1,False,0.9424299001693726,videomae,driveact
vp15_run1_2018-05-30-13-05-35_4508_4554,4,47,1,16,1,k1,False,0.3466673493385315,videomae,driveact
vp14_run1_2018-05-30-10-11-09_11998_12044,4,46,1,16,1,k1,False,0.13338549435138702,videomae,driveact
vp14_run2_2018-05-30-10-42-33_17604_17649,5,45,1,16,1,k1,True,0.3445727825164795,videomae,driveact
vp15_run2_2018-05-30-13-34-33_5597_5627,5,30,1,16,1,k1,False,0.832955002784729,videomae,driveact
vp14_run1_2018-05-30-10-11-09_20057_20102,5,45,1,16,1,k1,False,0.9253153204917908,videomae,driveact
vp14_run1_2018-05-30-10-11-09_17724_17771,5,47,1,16,1,k1,True,0.9241628050804138,videomae,driveact
vp14_run1_2018-05-30-10-11-09_17453_17498,5,45,1,16,1,k1,False,0.6652771234512329,videomae,driveact
vp14_run1_2018-05-30-10-11-09_20467_20513,5,46,1,16,1,k1,False,0.9933182001113892,videomae,driveact
vp14_run2_2018-05-30-10-42-33_15688_15699,5,10,1,16,1,k1,True,0.46985796093940735,videomae,driveact
vp14_run1_2018-05-30-10-11-09_17863_17908,5,44,1,16,1,k1,True,0.920181155204773,videomae,driveact
vp14_run1_2018-05-30-10-11-09_20513_20558,5,45,1,16,1,k1,False,0.8910072445869446,videomae,driveact
vp14_run1_2018-05-30-10-11-09_18091_18136,5,44,1,16,1,k1,True,0.8838446140289307,videomae,driveact
vp14_run2_2018-05-30-10-42-33_17831_17876,5,45,1,16,1,k1,False,0.4498896896839142,videomae,driveact
vp14_run2_2018-05-30-10-42-33_15551_15597,5,47,1,16,1,k1,True,0.8818012475967407,videomae,driveact
vp14_run2_2018-05-30-10-42-33_18689_18734,5,45,1,16,1,k1,False,0.9966906309127808,videomae,driveact
vp14_run2_2018-05-30-10-42-33_17649_17694,5,45,1,16,1,k1,True,0.8443860411643982,videomae,driveact
vp14_run1_2018-05-30-10-11-09_19691_19738,5,47,1,16,1,k1,False,0.8102555274963379,videomae,driveact
vp14_run2_2018-05-30-10-42-33_17694_17739,5,45,1,16,1,k1,True,0.6736326813697815,videomae,driveact
vp14_run2_2018-05-30-10-42-33_17512_17558,5,46,1,16,1,k1,True,0.754782497882843,videomae,driveact
vp14_run1_2018-05-30-10-11-09_20240_20285,5,45,1,16,1,k1,False,0.6043213605880737,videomae,driveact
vp14_run2_2018-05-30-10-42-33_15415_15461,5,46,1,16,1,k1,True,0.4340130686759949,videomae,driveact
vp14_run1_2018-05-30-10-11-09_17771_17817,5,47,1,16,1,k1,True,0.9025799632072449,videomae,driveact
vp15_run2_2018-05-30-13-34-33_120_166,6,47,1,16,1,k1,False,0.28026360273361206,videomae,driveact
