dataset,split,video_id,video_path,label_id,budget,coverage,stride,pred_id,correct_top1,correct_top5,confidence,decode_time_s,inference_time_s,total_time_s,source_frames,candidate_frames,processed_frames,model_input_frames,skipped,error
autsl,val,signer1_sample944_color,data/AUTSL_data/val/signer1_sample944_color.mp4,0,16,100,1,0,True,True,0.9829154014587402,0.03310631890781224,0.002808200995787047,1.1342645580880344,57,16,16,16,False,
autsl,val,signer1_sample276_color,data/AUTSL_data/val/signer1_sample276_color.mp4,0,16,100,1,0,True,True,0.9999321699142456,0.03206014493480325,0.002808200995787047,1.099421489983797,65,16,16,16,False,
autsl,val,signer35_sample610_color,data/AUTSL_data/val/signer35_sample610_color.mp4,0,16,100,1,0,True,True,0.9998233914375305,0.030787962023168802,0.002808200995787047,1.0660571840126067,71,16,16,16,False,
autsl,val,signer35_sample390_color,data/AUTSL_data/val/signer35_sample390_color.mp4,0,16,100,1,0,True,True,0.9999041557312012,0.03358376305550337,0.002808200995787047,1.0337238309439272,75,16,16,16,False,
autsl,val,signer18_sample539_color,data/AUTSL_data/val/signer18_sample539_color.mp4,0,16,100,1,0,True,True,0.9973307847976685,0.03365707886405289,0.002808200995787047,0.9986208009067923,64,16,16,16,False,
autsl,val,signer1_sample778_color,data/AUTSL_data/val/signer1_sample778_color.mp4,0,16,100,1,0,True,True,0.9987290501594543,0.034222531132400036,0.002808200995787047,0.9636206449940801,63,16,16,16,False,
autsl,val,signer11_sample469_color,data/AUTSL_data/val/signer11_sample469_color.mp4,0,16,100,1,0,True,True,0.9999016523361206,0.02610803092829883,0.002808200995787047,0.9278853149153292,45,16,16,16,False,
autsl,val,signer1_sample319_color,data/AUTSL_data/val/signer1_sample319_color.mp4,0,16,100,1,0,True,True,0.9997022747993469,0.03413444897159934,0.002808200995787047,0.9002373709809035,68,16,16,16,False,
autsl,val,signer11_sample120_color,data/AUTSL_data/val/signer11_sample120_color.mp4,0,16,100,1,0,True,True,0.9996935129165649,0.029531541047617793,0.002808200995787047,0.864866228075698,48,16,16,16,False,
autsl,val,signer25_sample64_color,data/AUTSL_data/val/signer25_sample64_color.mp4,0,16,100,1,0,True,True,0.9898954629898071,0.028348008170723915,0.002808200995787047,0.8340708478353918,46,16,16,16,False,
autsl,val,signer16_sample254_color,data/AUTSL_data/val/signer16_sample254_color.mp4,0,16,100,1,164,False,False,0.5079618096351624,0.03163916012272239,0.002808200995787047,0.8039240359794348,61,16,16,16,False,
autsl,val,signer35_sample286_color,data/AUTSL_data/val/signer35_sample286_color.mp4,0,16,100,1,0,True,True,0.9998859167098999,0.03209284110926092,0.002808200995787047,0.7710589380003512,61,16,16,16,False,
autsl,val,signer25_sample285_color,data/AUTSL_data/val/signer25_sample285_color.mp4,0,16,100,1,0,True,True,0.9917652010917664,0.02927557099610567,0.002808200995787047,0.737358994083479,53,16,16,16,False,
autsl,val,signer18_sample482_color,data/AUTSL_data/val/signer18_sample482_color.mp4,0,16,100,1,0,True,True,0.9981820583343506,0.032260546926409006,0.002808200995787047,0.7067233710549772,67,16,16,16,False,
autsl,val,signer16_sample365_color,data/AUTSL_data/val/signer16_sample365_color.mp4,0,16,100,1,164,False,False,0.8492980599403381,0.02899461705237627,0.002808200995787047,0.672853966942057,58,16,16,16,False,
autsl,val,signer11_sample66_color,data/AUTSL_data/val/signer11_sample66_color.mp4,0,16,100,1,0,True,True,0.9996110796928406,0.029973046854138374,0.002808200995787047,0.6421663339715451,49,16,16,16,False,
autsl,val,signer1_sample1090_color,data/AUTSL_data/val/signer1_sample1090_color.mp4,0,16,100,1,0,True,True,0.9910484552383423,0.028438197914510965,0.002808200995787047,0.6106312789488584,58,16,16,16,False,
autsl,val,signer18_sample5_color,data/AUTSL_data/val/signer18_sample5_color.mp4,0,16,100,1,0,True,True,0.999729335308075,0.033386572962626815,0.002808200995787047,0.5809643289539963,72,16,16,16,False,
autsl,val,signer1_sample1094_color,data/AUTSL_data/val/signer1_sample1094_color.mp4,0,16,100,1,0,True,True,0.9795737266540527,0.03473443980328739,0.002808200995787047,0.5458609408233315,61,16,16,16,False,
autsl,val,signer25_sample431_color,data/AUTSL_data/val/signer25_sample431_color.mp4,0,16,100,1,0,True,True,0.9484508037567139,0.030068834777921438,0.002808200995787047,0.5098252890165895,56,16,16,16,False,
autsl,val,signer25_sample372_color,data/AUTSL_data/val/signer25_sample372_color.mp4,1,16,100,1,1,True,True,0.9997156262397766,0.028932342072948813,0.002808200995787047,0.4782811098266393,58,16,16,16,False,
autsl,val,signer18_sample243_color,data/AUTSL_data/val/signer18_sample243_color.mp4,1,16,100,1,1,True,True,0.9659382700920105,0.027759179938584566,0.002808200995787047,0.44809340592473745,55,16,16,16,False,
autsl,val,signer35_sample603_color,data/AUTSL_data/val/signer35_sample603_color.mp4,1,16,100,1,1,True,True,0.9718814492225647,0.029114068020135164,0.002808200995787047,0.418754595099017,55,16,16,16,False,
autsl,val,signer18_sample436_color,data/AUTSL_data/val/signer18_sample436_color.mp4,1,16,100,1,1,True,True,0.9903534650802612,0.03150087804533541,0.002808200995787047,0.3880806479137391,61,16,16,16,False,
autsl,val,signer11_sample397_color,data/AUTSL_data/val/signer11_sample397_color.mp4,1,16,100,1,1,True,True,0.9755950570106506,0.027598822955042124,0.002808200995787047,0.35539109515957534,38,16,16,16,False,
autsl,val,signer1_sample936_color,data/AUTSL_data/val/signer1_sample936_color.mp4,1,16,100,1,1,True,True,0.9997054934501648,0.029532734071835876,0.002808200995787047,0.3265657499432564,55,16,16,16,False,
autsl,val,signer16_sample330_color,data/AUTSL_data/val/signer16_sample330_color.mp4,1,16,100,1,1,True,True,0.715073823928833,0.03427832410670817,0.002808200995787047,0.2953354849014431,62,16,16,16,False,
autsl,val,signer1_sample57_color,data/AUTSL_data/val/signer1_sample57_color.mp4,1,16,100,1,1,True,True,0.9978843331336975,0.029186166124418378,0.002808200995787047,0.25977139780297875,51,16,16,16,False,
autsl,val,signer1_sample377_color,data/AUTSL_data/val/signer1_sample377_color.mp4,1,16,100,1,1,True,True,0.997998058795929,0.031205469043925405,0.002808200995787047,0.22927218186669052,52,16,16,16,False,
autsl,val,signer35_sample92_color,data/AUTSL_data/val/signer35_sample92_color.mp4,1,16,100,1,1,True,True,0.8633169531822205,0.027620483888313174,0.002808200995787047,0.1967755830846727,51,16,16,16,False,
autsl,val,signer1_sample989_color,data/AUTSL_data/val/signer1_sample989_color.mp4,1,16,100,1,162,False,True,0.9707182049751282,0.028171654092147946,0.002808200995787047,0.1675649220123887,55,16,16,16,False,
autsl,val,signer25_sample463_color,data/AUTSL_data/val/signer25_sample463_color.mp4,1,16,100,1,1,True,True,0.999754011631012,0.02869990188628435,0.002808200995787047,0.13808207493275404,58,16,16,16,False,
autsl,val,signer1_sample198_color,data/AUTSL_data/val/signer1_sample198_color.mp4,1,16,100,1,1,True,True,0.824677586555481,0.033083376940339804,0.0018391206831438467,1.1448422749526799,51,16,16,16,False,
autsl,val,signer18_sample652_color,data/AUTSL_data/val/signer18_sample652_color.mp4,1,16,100,1,1,True,True,0.9731691479682922,0.030203216010704637,0.0018391206831438467,1.1102807139977813,69,16,16,16,False,
autsl,val,signer11_sample453_color,data/AUTSL_data/val/signer11_sample453_color.mp4,1,16,100,1,1,True,True,0.9858285188674927,0.02553572109900415,0.0018391206831438467,1.0783734768629074,39,16,16,16,False,
autsl,val,signer16_sample126_color,data/AUTSL_data/val/signer16_sample126_color.mp4,1,16,100,1,1,True,True,0.9841746687889099,0.03144587995484471,0.0018391206831438467,1.0515297299716622,67,16,16,16,False,
autsl,val,signer1_sample829_color,data/AUTSL_data/val/signer1_sample829_color.mp4,1,16,100,1,162,False,True,0.9564886093139648,0.029358254047110677,0.0018391206831438467,1.018800345947966,56,16,16,16,False,
autsl,val,signer11_sample242_color,data/AUTSL_data/val/signer11_sample242_color.mp4,1,16,100,1,1,True,True,0.9895106554031372,0.02689798385836184,0.0018391206831438467,0.9881031659897417,37,16,16,16,False,
autsl,val,signer25_sample110_color,data/AUTSL_data/val/signer25_sample110_color.mp4,1,16,100,1,1,True,True,0.9992965459823608,0.02865798701532185,0.0018391206831438467,0.9594285688363016,56,16,16,16,False,
autsl,val,signer11_sample639_color,data/AUTSL_data/val/signer11_sample639_color.mp4,2,16,100,1,2,True,True,0.9995222091674805,0.02699880488216877,0.0018391206831438467,0.9295193429570645,43,16,16,16,False,
autsl,val,signer25_sample375_color,data/AUTSL_data/val/signer25_sample375_color.mp4,2,16,100,1,2,True,True,0.993192732334137,0.02590940403752029,0.0018391206831438467,0.9009109521284699,44,16,16,16,False,
autsl,val,signer35_sample601_color,data/AUTSL_data/val/signer35_sample601_color.mp4,2,16,100,1,2,True,True,0.9993734955787659,0.029901050962507725,0.0018391206831438467,0.8735906700603664,71,16,16,16,False,
autsl,val,signer1_sample270_color,data/AUTSL_data/val/signer1_sample270_color.mp4,2,16,100,1,2,True,True,0.9962396621704102,0.0312796700745821,0.0018391206831438467,0.8418879741802812,72,16,16,16,False,
autsl,val,signer18_sample120_color,data/AUTSL_data/val/signer18_sample120_color.mp4,2,16,100,1,2,True,True,0.9991698265075684,0.03228318993933499,0.0018391206831438467,0.8093949849717319,64,16,16,16,False,
autsl,val,signer25_sample185_color,data/AUTSL_data/val/signer25_sample185_color.mp4,2,16,100,1,2,True,True,0.9993168115615845,0.030231829034164548,0.0018391206831438467,0.7757501290179789,53,16,16,16,False,
autsl,val,signer18_sample448_color,data/AUTSL_data/val/signer18_sample448_color.mp4,2,16,100,1,2,True,True,0.998837411403656,0.035060388036072254,0.0018391206831438467,0.7440823428332806,76,16,16,16,False,
autsl,val,signer35_sample159_color,data/AUTSL_data/val/signer35_sample159_color.mp4,2,16,100,1,2,True,True,0.9894806146621704,0.02837187796831131,0.0018391206831438467,0.7074587191455066,59,16,16,16,False,
autsl,val,signer16_sample324_color,data/AUTSL_data/val/signer16_sample324_color.mp4,2,16,100,1,206,False,False,0.9502725601196289,0.0351445151027292,0.0018391206831438467,0.6777272750623524,75,16,16,16,False,
autsl,val,signer18_sample347_color,data/AUTSL_data/val/signer18_sample347_color.mp4,2,16,100,1,2,True,True,0.9982377290725708,0.03263463103212416,0.0018391206831438467,0.6411790610291064,66,16,16,16,False,
autsl,val,signer1_sample950_color,data/AUTSL_data/val/signer1_sample950_color.mp4,2,16,100,1,2,True,True,0.9989632368087769,0.03200237615965307,0.0018391206831438467,0.6072703290265054,72,16,16,16,False,
autsl,val,signer1_sample1100_color,data/AUTSL_data/val/signer1_sample1100_color.mp4,2,16,100,1,2,True,True,0.9990904331207275,0.033413867931813,0.0018391206831438467,0.5734156910330057,70,16,16,16,False,
autsl,val,signer1_sample509_color,data/AUTSL_data/val/signer1_sample509_color.mp4,2,16,100,1,2,True,True,0.9911948442459106,0.038529459154233336,0.0018391206831438467,0.5388000719249249,74,16,16,16,False,
autsl,val,signer11_sample430_color,data/AUTSL_data/val/signer11_sample430_color.mp4,2,16,100,1,2,True,True,0.9998051524162292,0.025890921941027045,0.0018391206831438467,0.49872793396934867,44,16,16,16,False,
autsl,val,signer1_sample169_color,data/AUTSL_data/val/signer1_sample169_color.mp4,2,16,100,1,2,True,True,0.9995055198669434,0.03390194312669337,0.0018391206831438467,0.4713547448627651,70,16,16,16,False,
autsl,val,signer16_sample56_color,data/AUTSL_data/val/signer16_sample56_color.mp4,2,16,100,1,206,False,False,0.8615667223930359,0.03199863410554826,0.0018391206831438467,0.435781619977206,69,16,16,16,False,
autsl,val,signer25_sample220_color,data/AUTSL_data/val/signer25_sample220_color.mp4,2,16,100,1,2,True,True,0.9994774460792542,0.028323677135631442,0.0018391206831438467,0.40233682398684323,47,16,16,16,False,
autsl,val,signer35_sample426_color,data/AUTSL_data/val/signer35_sample426_color.mp4,2,16,100,1,2,True,True,0.988637387752533,0.034180388087406754,0.0018391206831438467,0.3727625859901309,62,16,16,16,False,
autsl,val,signer11_sample142_color,data/AUTSL_data/val/signer11_sample142_color.mp4,2,16,100,1,2,True,True,0.9998619556427002,0.025220294948667288,0.0018391206831438467,0.3372185709886253,44,16,16,16,False,
autsl,val,signer1_sample432_color,data/AUTSL_data/val/signer1_sample432_color.mp4,2,16,100,1,2,True,True,0.9954967498779297,0.03606738685630262,0.0018391206831438467,0.31019149790517986,76,16,16,16,False,
autsl,val,signer1_sample648_color,data/AUTSL_data/val/signer1_sample648_color.mp4,3,16,100,1,3,True,True,0.9999369382858276,0.032627400010824203,0.0018391206831438467,0.27278005494736135,65,16,16,16,False,
autsl,val,signer16_sample315_color,data/AUTSL_data/val/signer16_sample315_color.mp4,3,16,100,1,3,True,True,0.38800716400146484,0.030041659949347377,0.0018391206831438467,0.23878062097355723,71,16,16,16,False,
autsl,val,signer11_sample327_color,data/AUTSL_data/val/signer11_sample327_color.mp4,3,16,100,1,3,True,True,0.9957097768783569,0.026855500182136893,0.0018391206831438467,0.20738225802779198,43,16,16,16,False,
autsl,val,signer18_sample323_color,data/AUTSL_data/val/signer18_sample323_color.mp4,3,16,100,1,3,True,True,0.9991094470024109,0.036017421865835786,0.0018391206831438467,0.17854068195447326,62,16,16,16,False,
autsl,val,signer11_sample565_color,data/AUTSL_data/val/signer11_sample565_color.mp4,3,16,100,1,14,False,True,0.5552978515625,0.02842112281359732,0.0018391206831438467,0.14090156415477395,46,16,16,16,False,
autsl,val,signer18_sample138_color,data/AUTSL_data/val/signer18_sample138_color.mp4,3,16,100,1,3,True,True,0.9882683157920837,0.03797226818278432,0.0017826185357989743,1.2210169739555568,76,16,16,16,False,
autsl,val,signer1_sample1092_color,data/AUTSL_data/val/signer1_sample1092_color.mp4,3,16,100,1,3,True,True,0.9997953772544861,0.03522216808050871,0.0017826185357989743,1.1817335761152208,73,16,16,16,False,
autsl,val,signer1_sample166_color,data/AUTSL_data/val/signer1_sample166_color.mp4,3,16,100,1,3,True,True,0.9998990297317505,0.029350763885304332,0.0017826185357989743,1.1448245998471975,59,16,16,16,False,
autsl,val,signer25_sample212_color,data/AUTSL_data/val/signer25_sample212_color.mp4,3,16,100,1,3,True,True,0.9891714453697205,0.033383270958438516,0.0017826185357989743,1.1136592098046094,63,16,16,16,False,
autsl,val,signer18_sample500_color,data/AUTSL_data/val/signer18_sample500_color.mp4,3,16,100,1,3,True,True,0.9945974349975586,0.03456661989912391,0.0017826185357989743,1.0788208439480513,76,16,16,16,False,
autsl,val,signer25_sample536_color,data/AUTSL_data/val/signer25_sample536_color.mp4,3,16,100,1,3,True,True,0.9702060222625732,0.031024105148389935,0.0017826185357989743,1.0425750820431858,61,16,16,16,False,
autsl,val,signer1_sample709_color,data/AUTSL_data/val/signer1_sample709_color.mp4,3,16,100,1,3,True,True,0.9999455213546753,0.03433999698609114,0.0017826185357989743,1.0102580050006509,68,16,16,16,False,
autsl,val,signer11_sample341_color,data/AUTSL_data/val/signer11_sample341_color.mp4,3,16,100,1,3,True,True,0.6753985285758972,0.026580678997561336,0.0017826185357989743,0.9744740361347795,43,16,16,16,False,
autsl,val,signer35_sample119_color,data/AUTSL_data/val/signer35_sample119_color.mp4,3,16,100,1,3,True,True,0.9999189376831055,0.03527380898594856,0.0017826185357989743,0.9464112848509103,78,16,16,16,False,
autsl,val,signer1_sample68_color,data/AUTSL_data/val/signer1_sample68_color.mp4,3,16,100,1,3,True,True,0.9999711513519287,0.03643018705770373,0.0017826185357989743,0.9094922097865492,68,16,16,16,False,
autsl,val,signer1_sample118_color,data/AUTSL_data/val/signer1_sample118_color.mp4,3,16,100,1,3,True,True,0.9998800754547119,0.034882625099271536,0.0017826185357989743,0.871766502968967,63,16,16,16,False,
autsl,val,signer16_sample14_color,data/AUTSL_data/val/signer16_sample14_color.mp4,3,16,100,1,3,True,True,0.3275858759880066,0.03268713201396167,0.0017826185357989743,0.8353185169398785,73,16,16,16,False,
autsl,val,signer35_sample554_color,data/AUTSL_data/val/signer35_sample554_color.mp4,3,16,100,1,3,True,True,0.9998843669891357,0.03366029215976596,0.0017826185357989743,0.8009070090483874,73,16,16,16,False,
autsl,val,signer25_sample92_color,data/AUTSL_data/val/signer25_sample92_color.mp4,3,16,100,1,3,True,True,0.9484449028968811,0.029753566021099687,0.0017826185357989743,0.7658071669284254,59,16,16,16,False,
autsl,val,signer18_sample268_color,data/AUTSL_data/val/signer18_sample268_color.mp4,4,16,100,1,4,True,True,0.5902466177940369,0.03467981587164104,0.0017826185357989743,0.7342943500261754,65,16,16,16,False,
autsl,val,signer16_sample77_color,data/AUTSL_data/val/signer16_sample77_color.mp4,4,16,100,1,4,True,True,0.7626643776893616,0.032306903041899204,0.0017826185357989743,0.6979300167877227,64,16,16,16,False,
autsl,val,signer35_sample501_color,data/AUTSL_data/val/signer35_sample501_color.mp4,4,16,100,1,4,True,True,0.9997444748878479,0.03274991689249873,0.0017826185357989743,0.6642408748157322,82,16,16,16,False,
autsl,val,signer35_sample93_color,data/AUTSL_data/val/signer35_sample93_color.mp4,4,16,100,1,4,True,True,0.9999772310256958,0.03328902507200837,0.0017826185357989743,0.6300218391697854,80,16,16,16,False,
autsl,val,signer11_sample544_color,data/AUTSL_data/val/signer11_sample544_color.mp4,4,16,100,1,30,False,False,0.5911245942115784,0.0322494360152632,0.0017826185357989743,0.5951769449748099,48,16,16,16,False,
autsl,val,signer16_sample102_color,data/AUTSL_data/val/signer16_sample102_color.mp4,4,16,100,1,0,False,True,0.498053640127182,0.034164803102612495,0.0017826185357989743,0.561327398987487,63,16,16,16,False,
autsl,val,signer25_sample104_color,data/AUTSL_data/val/signer25_sample104_color.mp4,4,16,100,1,4,True,True,0.8821789622306824,0.030782457906752825,0.0017826185357989743,0.5254241768270731,59,16,16,16,False,
autsl,val,signer25_sample109_color,data/AUTSL_data/val/signer25_sample109_color.mp4,4,16,100,1,4,True,True,0.9708436131477356,0.029034623876214027,0.0017826185357989743,0.49263972602784634,59,16,16,16,False,
autsl,val,signer1_sample102_color,data/AUTSL_data/val/signer1_sample102_color.mp4,4,16,100,1,4,True,True,0.9996545314788818,0.030889008892700076,0.0017826185357989743,0.46224731719121337,66,16,16,16,False,
autsl,val,signer1_sample653_color,data/AUTSL_data/val/signer1_sample653_color.mp4,4,16,100,1,4,True,True,0.9251039028167725,0.03282674006186426,0.0017826185357989743,0.430152032058686,66,16,16,16,False,
autsl,val,signer11_sample658_color,data/AUTSL_data/val/signer11_sample658_color.mp4,4,16,100,1,164,False,False,0.6127005219459534,0.02564760996028781,0.0017826185357989743,0.3959629919845611,41,16,16,16,False,
autsl,val,signer1_sample1326_color,data/AUTSL_data/val/signer1_sample1326_color.mp4,4,16,100,1,4,True,True,0.9992266893386841,0.0322177370544523,0.0017826185357989743,0.36862226016819477,66,16,16,16,False,
autsl,val,signer35_sample61_color,data/AUTSL_data/val/signer35_sample61_color.mp4,4,16,100,1,4,True,True,0.9999862909317017,0.032348296139389277,0.0017826185357989743,0.33518622908741236,81,16,16,16,False,
autsl,val,signer1_sample548_color,data/AUTSL_data/val/signer1_sample548_color.mp4,4,16,100,1,4,True,True,0.9237587451934814,0.03484815894626081,0.0017826185357989743,0.30132613610476255,64,16,16,16,False,
autsl,val,signer11_sample44_color,data/AUTSL_data/val/signer11_sample44_color.mp4,4,16,100,1,164,False,False,0.8745429515838623,0.024875503964722157,0.0017826185357989743,0.26473910198546946,41,16,16,16,False,
autsl,val,signer1_sample127_color,data/AUTSL_data/val/signer1_sample127_color.mp4,4,16,100,1,4,True,True,0.9567350745201111,0.033766645938158035,0.0017826185357989743,0.23843470495194197,62,16,16,16,False,
autsl,val,signer18_sample362_color,data/AUTSL_data/val/signer18_sample362_color.mp4,4,16,100,1,4,True,True,0.7657961845397949,0.03874132502824068,0.0017826185357989743,0.203267629025504,72,16,16,16,False,
autsl,val,signer25_sample72_color,data/AUTSL_data/val/signer25_sample72_color.mp4,4,16,100,1,4,True,True,0.999196469783783,0.028821809915825725,0.0017826185357989743,0.16270363912917674,53,16,16,16,False,
autsl,val,signer1_sample1040_color,data/AUTSL_data/val/signer1_sample1040_color.mp4,4,16,100,1,4,True,True,0.9982675313949585,0.0377066710498184,0.001771966097294353,1.1785353270824999,67,16,16,16,False,
autsl,val,signer18_sample332_color,data/AUTSL_data/val/signer18_sample332_color.mp4,4,16,100,1,4,True,True,0.9867649078369141,0.03351173410192132,0.001771966097294353,1.1394575529266149,75,16,16,16,False,
autsl,val,signer18_sample343_color,data/AUTSL_data/val/signer18_sample343_color.mp4,5,16,100,1,5,True,True,0.9967080354690552,0.03125772485509515,0.001771966097294353,1.104308527894318,66,16,16,16,False,
autsl,val,signer1_sample1130_color,data/AUTSL_data/val/signer1_sample1130_color.mp4,5,16,100,1,5,True,True,0.999887228012085,0.033247107872739434,0.001771966097294353,1.071914613014087,61,16,16,16,False,
autsl,val,signer35_sample555_color,data/AUTSL_data/val/signer35_sample555_color.mp4,5,16,100,1,18,False,True,0.995202898979187,0.02840023417957127,0.001771966097294353,1.0371630091685802,58,16,16,16,False,
autsl,val,signer25_sample221_color,data/AUTSL_data/val/signer25_sample221_color.mp4,5,16,100,1,5,True,True,0.9994637370109558,0.03369458904489875,0.001771966097294353,1.007548863068223,68,16,16,16,False,
autsl,val,signer35_sample234_color,data/AUTSL_data/val/signer35_sample234_color.mp4,5,16,100,1,5,True,True,0.9999510049819946,0.028755505103617907,0.001771966097294353,0.9721698309294879,58,16,16,16,False,
