dataset,split,video_id,video_path,label_id,budget,coverage,stride,pred_id,correct_top1,correct_top5,confidence,decode_time_s,inference_time_s,total_time_s,source_frames,candidate_frames,processed_frames,model_input_frames,skipped,error
autsl,val,signer1_sample944_color,data/AUTSL_data/val/signer1_sample944_color.mp4,0,16,100,1,0,True,True,0.0639849603176117,0.039690094999969006,0.01429450280556921,1.7778587150387466,57,16,16,16,False,
autsl,val,signer1_sample276_color,data/AUTSL_data/val/signer1_sample276_color.mp4,0,16,100,1,18,False,True,0.04353473335504532,0.0342480200342834,0.01429450280556921,1.7365261050872505,65,16,16,16,False,
autsl,val,signer35_sample610_color,data/AUTSL_data/val/signer35_sample610_color.mp4,0,16,100,1,51,False,False,0.041932594031095505,0.03227409301325679,0.01429450280556921,1.7008589319884777,71,16,16,16,False,
autsl,val,signer35_sample390_color,data/AUTSL_data/val/signer35_sample390_color.mp4,0,16,100,1,51,False,False,0.045334525406360626,0.035253790905699134,0.01429450280556921,1.6667778939008713,75,16,16,16,False,
autsl,val,signer18_sample539_color,data/AUTSL_data/val/signer18_sample539_color.mp4,0,16,100,1,51,False,True,0.05174260959029198,0.039371147053316236,0.01429450280556921,1.6298787230625749,64,16,16,16,False,
autsl,val,signer1_sample778_color,data/AUTSL_data/val/signer1_sample778_color.mp4,0,16,100,1,29,False,False,0.037980761379003525,0.03683813102543354,0.01429450280556921,1.5890225050970912,63,16,16,16,False,
autsl,val,signer11_sample469_color,data/AUTSL_data/val/signer11_sample469_color.mp4,0,16,100,1,51,False,True,0.08712111413478851,0.027567113051190972,0.01429450280556921,1.5500467258971184,45,16,16,16,False,
autsl,val,signer1_sample319_color,data/AUTSL_data/val/signer1_sample319_color.mp4,0,16,100,1,0,True,True,0.060291025787591934,0.03706041304394603,0.01429450280556921,1.5210825260728598,68,16,16,16,False,
autsl,val,signer11_sample120_color,data/AUTSL_data/val/signer11_sample120_color.mp4,0,16,100,1,51,False,True,0.08294034749269485,0.032479851972311735,0.01429450280556921,1.482303349999711,48,16,16,16,False,
autsl,val,signer25_sample64_color,data/AUTSL_data/val/signer25_sample64_color.mp4,0,16,100,1,51,False,True,0.054208047688007355,0.03065022104419768,0.01429450280556921,1.448195701930672,46,16,16,16,False,
autsl,val,signer16_sample254_color,data/AUTSL_data/val/signer16_sample254_color.mp4,0,16,100,1,51,False,False,0.036997560411691666,0.03426037891767919,0.01429450280556921,1.4159519630484283,61,16,16,16,False,
autsl,val,signer35_sample286_color,data/AUTSL_data/val/signer35_sample286_color.mp4,0,16,100,1,51,False,False,0.040978703647851944,0.03433860116638243,0.01429450280556921,1.3801459991373122,61,16,16,16,False,
autsl,val,signer25_sample285_color,data/AUTSL_data/val/signer25_sample285_color.mp4,0,16,100,1,51,False,False,0.06515681743621826,0.031619434943422675,0.01429450280556921,1.3438401469029486,53,16,16,16,False,
