dataset,split,video_id,video_path,label_id,budget,coverage,stride,pred_id,correct_top1,correct_top5,confidence,decode_time_s,inference_time_s,total_time_s,source_frames,candidate_frames,processed_frames,model_input_frames,skipped,error
diving48,val,Le6xdQ2OO8w_00124,data/Diving48_data/videos/Le6xdQ2OO8w_00124.mp4,0,8,100,1,0,True,True,0.7932447791099548,0.033633721992373466,0.008371497911866754,1.4664240470156074,106,8,8,8,False,
diving48,val,bl0C6d9QgIg_00021,data/Diving48_data/videos/bl0C6d9QgIg_00021.mp4,0,8,100,1,34,False,False,0.5910202264785767,0.019738683942705393,0.008371497911866754,1.4314379889983684,51,8,8,8,False,
diving48,val,mGRum47TLX0_00045,data/Diving48_data/videos/mGRum47TLX0_00045.mp4,0,8,100,1,31,False,True,0.9346311688423157,0.052667292999103665,0.008371497911866754,1.4105441400315613,211,8,8,8,False,
diving48,val,L_SB1PRgDTE_00029,data/Diving48_data/videos/L_SB1PRgDTE_00029.mp4,0,8,100,1,0,True,True,0.3586903214454651,0.03170465002767742,0.008371497911866754,1.3564311950467527,87,8,8,8,False,
diving48,val,Le6xdQ2OO8w_00154,data/Diving48_data/videos/Le6xdQ2OO8w_00154.mp4,0,8,100,1,0,True,True,0.9479838609695435,0.044476717012003064,0.008371497911866754,1.3237503699492663,113,8,8,8,False,
diving48,val,Le6xdQ2OO8w_00127,data/Diving48_data/videos/Le6xdQ2OO8w_00127.mp4,0,8,100,1,8,False,False,0.30982133746147156,0.03671862999908626,0.008371497911866754,1.2778407030273229,161,8,8,8,False,
diving48,val,Le6xdQ2OO8w_00121,data/Diving48_data/videos/Le6xdQ2OO8w_00121.mp4,0,8,100,1,0,True,True,0.9734288454055786,0.03536727512255311,0.008371497911866754,1.2396496820729226,110,8,8,8,False,
diving48,val,Le6xdQ2OO8w_00119,data/Diving48_data/videos/Le6xdQ2OO8w_00119.mp4,0,8,100,1,0,True,True,0.8885640501976013,0.0309853779617697,0.008371497911866754,1.2029823339544237,130,8,8,8,False,
diving48,val,bSsVWVfYU4w_00118,data/Diving48_data/videos/bSsVWVfYU4w_00118.mp4,0,8,100,1,19,False,True,0.4376579821109772,0.029485770035535097,0.008371497911866754,1.170691731153056,151,8,8,8,False,
diving48,val,bl0C6d9QgIg_00022,data/Diving48_data/videos/bl0C6d9QgIg_00022.mp4,0,8,100,1,8,False,True,0.7293962836265564,0.021455929148942232,0.008371497911866754,1.1401696109678596,96,8,8,8,False,
diving48,val,bl0C6d9QgIg_00017,data/Diving48_data/videos/bl0C6d9QgIg_00017.mp4,0,8,100,1,19,False,True,0.4002349078655243,0.04219400812871754,0.008371497911866754,1.1174147729761899,250,8,8,8,False,
diving48,val,bl0C6d9QgIg_00023,data/Diving48_data/videos/bl0C6d9QgIg_00023.mp4,0,8,100,1,0,True,True,0.9133812189102173,0.03395298612304032,0.008371497911866754,1.0740238139405847,90,8,8,8,False,
diving48,val,bSsVWVfYU4w_00086,data/Diving48_data/videos/bSsVWVfYU4w_00086.mp4,0,8,100,1,31,False,True,0.4525105059146881,0.018478183075785637,0.008371497911866754,1.0389272021129727,53,8,8,8,False,
diving48,val,bSsVWVfYU4w_00169,data/Diving48_data/videos/bSsVWVfYU4w_00169.mp4,0,8,100,1,0,True,True,0.9884496927261353,0.02963954396545887,0.008371497911866754,1.0192122189328074,141,8,8,8,False,
diving48,val,MbzIpx8kAD0_00025,data/Diving48_data/videos/MbzIpx8kAD0_00025.mp4,0,8,100,1,0,True,True,0.9919390082359314,0.02671149792149663,0.008371497911866754,0.9884721289854497,96,8,8,8,False,
diving48,val,ovWCmIMMkRI_00055,data/Diving48_data/videos/ovWCmIMMkRI_00055.mp4,0,8,100,1,33,False,False,0.5204811096191406,0.021043293178081512,0.008371497911866754,0.9606738609727472,88,8,8,8,False,
diving48,val,Le6xdQ2OO8w_00139,data/Diving48_data/videos/Le6xdQ2OO8w_00139.mp4,0,8,100,1,1,False,True,0.5071105360984802,0.035450560972094536,0.008371497911866754,0.9383514411747456,150,8,8,8,False,
diving48,val,Le6xdQ2OO8w_00160,data/Diving48_data/videos/Le6xdQ2OO8w_00160.mp4,0,8,100,1,8,False,True,0.4316725432872772,0.02557436190545559,0.008371497911866754,0.9013960640877485,105,8,8,8,False,
diving48,val,Le6xdQ2OO8w_00120,data/Diving48_data/videos/Le6xdQ2OO8w_00120.mp4,0,8,100,1,0,True,True,0.8403584957122803,0.032093893038108945,0.008371497911866754,0.874522821046412,96,8,8,8,False,
diving48,val,zmacW6f2Tdk_00048,data/Diving48_data/videos/zmacW6f2Tdk_00048.mp4,0,8,100,1,0,True,True,0.9975435137748718,0.020749053917825222,0.008371497911866754,0.8410593329463154,93,8,8,8,False,
diving48,val,cs8g1es4vfM_00034,data/Diving48_data/videos/cs8g1es4vfM_00034.mp4,1,8,100,1,33,False,False,0.5139354467391968,0.022629940882325172,0.008371497911866754,0.8189339120872319,64,8,8,8,False,
diving48,val,cs8g1es4vfM_00043,data/Diving48_data/videos/cs8g1es4vfM_00043.mp4,1,8,100,1,21,False,False,0.7281968593597412,0.01968747889623046,0.008371497911866754,0.7949069340247661,93,8,8,8,False,
diving48,val,CVAfPfVFulQ_00076,data/Diving48_data/videos/CVAfPfVFulQ_00076.mp4,1,8,100,1,2,False,True,0.6581474542617798,0.02865636395290494,0.008371497911866754,0.7740516539197415,92,8,8,8,False,
diving48,val,yHo2oERGo7A_00056,data/Diving48_data/videos/yHo2oERGo7A_00056.mp4,1,8,100,1,1,True,True,0.5099419355392456,0.031766563188284636,0.008371497911866754,0.7438869159668684,122,8,8,8,False,
diving48,val,ovWCmIMMkRI_00058,data/Diving48_data/videos/ovWCmIMMkRI_00058.mp4,1,8,100,1,21,False,True,0.8280892372131348,0.023040886037051678,0.008371497911866754,0.7109113559126854,105,8,8,8,False,
diving48,val,yHo2oERGo7A_00058,data/Diving48_data/videos/yHo2oERGo7A_00058.mp4,1,8,100,1,1,True,True,0.7942712903022766,0.023006840841844678,0.008371497911866754,0.6866372968070209,94,8,8,8,False,
diving48,val,cs8g1es4vfM_00056,data/Diving48_data/videos/cs8g1es4vfM_00056.mp4,1,8,100,1,33,False,False,0.5652180910110474,0.020319830859079957,0.008371497911866754,0.662472611060366,102,8,8,8,False,
diving48,val,SbzcCzXjYSU_00049,data/Diving48_data/videos/SbzcCzXjYSU_00049.mp4,1,8,100,1,21,False,True,0.9713758826255798,0.0276144458912313,0.008371497911866754,0.6409638600889593,87,8,8,8,False,
diving48,val,cs8g1es4vfM_00010,data/Diving48_data/videos/cs8g1es4vfM_00010.mp4,1,8,100,1,33,False,True,0.24817682802677155,0.02432355983182788,0.008371497911866754,0.6122967519331723,77,8,8,8,False,
diving48,val,ovWCmIMMkRI_00034,data/Diving48_data/videos/ovWCmIMMkRI_00034.mp4,1,8,100,1,0,False,True,0.9908247590065002,0.023628416005522013,0.008371497911866754,0.5868628029711545,92,8,8,8,False,
diving48,val,yHo2oERGo7A_00057,data/Diving48_data/videos/yHo2oERGo7A_00057.mp4,1,8,100,1,21,False,False,0.6665723323822021,0.022101267939433455,0.008371497911866754,0.5622393060475588,102,8,8,8,False,
diving48,val,SbzcCzXjYSU_00056,data/Diving48_data/videos/SbzcCzXjYSU_00056.mp4,1,8,100,1,0,False,True,0.7839388251304626,0.04307431518100202,0.008371497911866754,0.5389531238470227,109,8,8,8,False,
diving48,val,jMEYIEYkpY0_00103,data/Diving48_data/videos/jMEYIEYkpY0_00103.mp4,1,8,100,1,0,False,True,0.9939703941345215,0.0361616148147732,0.008476070281176362,1.5148378040175885,140,8,8,8,False,
