dataset,split,video_id,video_path,label_id,budget,coverage,stride,pred_id,correct_top1,correct_top5,confidence,decode_time_s,inference_time_s,total_time_s,source_frames,candidate_frames,processed_frames,model_input_frames,skipped,error
autsl,val,signer1_sample944_color,data/AUTSL_data/val/signer1_sample944_color.mp4,0,32,100,1,86,False,False,0.1394858956336975,0.03386282012797892,0.037464008149981964,2.725415086140856,57,32,32,32,False,
autsl,val,signer1_sample276_color,data/AUTSL_data/val/signer1_sample276_color.mp4,0,32,100,1,0,True,True,0.09363982826471329,0.035800229059532285,0.037464008149981964,2.6901266681961715,65,32,32,32,False,
autsl,val,signer35_sample610_color,data/AUTSL_data/val/signer35_sample610_color.mp4,0,32,100,1,183,False,True,0.1820741593837738,0.0318707600235939,0.037464008149981964,2.6528745889663696,71,32,32,32,False,
autsl,val,signer35_sample390_color,data/AUTSL_data/val/signer35_sample390_color.mp4,0,32,100,1,183,False,True,0.17968375980854034,0.039210883900523186,0.037464008149981964,2.6192842070013285,75,32,32,32,False,
autsl,val,signer18_sample539_color,data/AUTSL_data/val/signer18_sample539_color.mp4,0,32,100,1,0,True,True,0.11407085508108139,0.03536989912390709,0.037464008149981964,2.5787197609897703,64,32,32,32,False,
autsl,val,signer1_sample778_color,data/AUTSL_data/val/signer1_sample778_color.mp4,0,32,100,1,86,False,True,0.1457214057445526,0.039496507961302996,0.037464008149981964,2.541901411022991,63,32,32,32,False,
autsl,val,signer11_sample469_color,data/AUTSL_data/val/signer11_sample469_color.mp4,0,32,100,1,0,True,True,0.175120010972023,0.026238264050334692,0.037464008149981964,2.500653934897855,45,32,32,32,False,
autsl,val,signer1_sample319_color,data/AUTSL_data/val/signer1_sample319_color.mp4,0,32,100,1,0,True,True,0.08733916282653809,0.0380365950986743,0.037464008149981964,2.4728857558220625,68,32,32,32,False,
autsl,val,signer11_sample120_color,data/AUTSL_data/val/signer11_sample120_color.mp4,0,32,100,1,0,True,True,0.2647315561771393,0.02567721693776548,0.037464008149981964,2.433421954046935,48,32,32,32,False,
autsl,val,signer25_sample64_color,data/AUTSL_data/val/signer25_sample64_color.mp4,0,32,100,1,0,True,True,0.142752006649971,0.026190884178504348,0.037464008149981964,2.4062731969170272,46,32,32,32,False,
autsl,val,signer16_sample254_color,data/AUTSL_data/val/signer16_sample254_color.mp4,0,32,100,1,78,False,False,0.07268361747264862,0.033597055822610855,0.037464008149981964,2.3783732189331204,61,32,32,32,False,
autsl,val,signer35_sample286_color,data/AUTSL_data/val/signer35_sample286_color.mp4,0,32,100,1,183,False,True,0.15189310908317566,0.03397603705525398,0.037464008149981964,2.3434273211751133,61,32,32,32,False,
autsl,val,signer25_sample285_color,data/AUTSL_data/val/signer25_sample285_color.mp4,0,32,100,1,0,True,True,0.11089697480201721,0.02835408505052328,0.037464008149981964,2.308017033850774,53,32,32,32,False,
autsl,val,signer18_sample482_color,data/AUTSL_data/val/signer18_sample482_color.mp4,0,32,100,1,0,True,True,0.15564751625061035,0.03347004484385252,0.037464008149981964,2.2779781299177557,67,32,32,32,False,
autsl,val,signer16_sample365_color,data/AUTSL_data/val/signer16_sample365_color.mp4,0,32,100,1,78,False,False,0.07527751475572586,0.031216371105983853,0.037464008149981964,2.243064665934071,58,32,32,32,False,
autsl,val,signer11_sample66_color,data/AUTSL_data/val/signer11_sample66_color.mp4,0,32,100,1,0,True,True,0.16639940440654755,0.028065219055861235,0.037464008149981964,2.210416803136468,49,32,32,32,False,
autsl,val,signer1_sample1090_color,data/AUTSL_data/val/signer1_sample1090_color.mp4,0,32,100,1,0,True,True,0.09944013506174088,0.032102396013215184,0.037464008149981964,2.180992880836129,58,32,32,32,False,
autsl,val,signer18_sample5_color,data/AUTSL_data/val/signer18_sample5_color.mp4,0,32,100,1,0,True,True,0.2323068082332611,0.036057156044989824,0.037464008149981964,2.147213009884581,72,32,32,32,False,
autsl,val,signer1_sample1094_color,data/AUTSL_data/val/signer1_sample1094_color.mp4,0,32,100,1,86,False,True,0.17281460762023926,0.03737007803283632,0.037464008149981964,2.1097291668411344,61,32,32,32,False,
autsl,val,signer25_sample431_color,data/AUTSL_data/val/signer25_sample431_color.mp4,0,32,100,1,183,False,True,0.09502217918634415,0.031124710105359554,0.037464008149981964,2.07086303899996,56,32,32,32,False,
autsl,val,signer25_sample372_color,data/AUTSL_data/val/signer25_sample372_color.mp4,1,32,100,1,1,True,True,0.07941736280918121,0.03442645212635398,0.037464008149981964,2.0381296151317656,58,32,32,32,False,
