dataset,split,video_id,video_path,label_id,budget,coverage,stride,pred_id,correct_top1,correct_top5,confidence,decode_time_s,inference_time_s,total_time_s,source_frames,candidate_frames,processed_frames,model_input_frames,skipped,error
somethingv2,validation,126896,data/Something_data/videos_full/126896.webm,1,32,100,1,-1,False,False,0.0,0.0,0.0,0.22252350504277274,0,0,0,0,True,"[13:27:06] /github/workspace/src/video/ffmpeg/threaded_decoder.cc:292: [13:27:06] /github/workspace/src/video/ffmpeg/threaded_decoder.cc:218: Check failed: avcodec_send_packet(dec_ctx_.get(), pkt.get()) >= 0 (-11 vs. 0) Thread worker: Error sending packet."
somethingv2,validation,169724,data/Something_data/videos_full/169724.webm,0,32,100,1,32,False,True,0.5015609860420227,0.4398377879988402,0.03925687203081907,14.008864550036378,46,32,32,32,False,
somethingv2,validation,108286,data/Something_data/videos_full/108286.webm,0,32,100,1,32,False,True,0.3118281960487366,0.5740199110005051,0.03925687203081907,13.566111152002122,54,32,32,32,False,
somethingv2,validation,147281,data/Something_data/videos_full/147281.webm,0,32,100,1,128,False,True,0.3715361952781677,0.48721795197343454,0.03925687203081907,12.98882703500567,62,32,32,32,False,
somethingv2,validation,6216,data/Something_data/videos_full/6216.webm,0,32,100,1,168,False,True,0.9900636076927185,0.2601774109643884,0.03925687203081907,12.499120444001164,41,32,32,32,False,
somethingv2,validation,174027,data/Something_data/videos_full/174027.webm,0,32,100,1,0,True,True,0.454434871673584,0.6078130780369975,0.03925687203081907,12.235691393958405,46,32,32,32,False,
somethingv2,validation,144827,data/Something_data/videos_full/144827.webm,0,32,100,1,128,False,True,0.7839536070823669,0.35048808599822223,0.03925687203081907,11.625010615971405,42,32,32,32,False,
somethingv2,validation,53775,data/Something_data/videos_full/53775.webm,0,32,100,1,125,False,True,0.3217303156852722,0.49604285694658756,0.03925687203081907,11.272440373024438,42,32,32,32,False,
somethingv2,validation,51951,data/Something_data/videos_full/51951.webm,0,32,100,1,0,True,True,0.667234480381012,0.616474489972461,0.03925687203081907,10.774681114999112,33,32,32,32,False,
somethingv2,validation,10430,data/Something_data/videos_full/10430.webm,0,32,100,1,0,True,True,0.8559548854827881,0.3536711960332468,0.03925687203081907,10.155496922961902,52,32,32,32,False,
somethingv2,validation,148979,data/Something_data/videos_full/148979.webm,0,32,100,1,68,False,False,0.23728936910629272,0.38893331500003114,0.03925687203081907,9.798818591050804,63,32,32,32,False,
somethingv2,validation,99688,data/Something_data/videos_full/99688.webm,0,32,100,1,0,True,True,0.985731303691864,0.6186700449907221,0.03925687203081907,9.408498623000924,48,32,32,32,False,
